name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Denmark House,"Danish, European",4.2,CBD,"Level 3, 428 Little Bourke Street, CBD",CBD,-37.8140702,144.959785,$70.00 ,European
State of Grace,European,4.1,CBD,"27 King Street, CBD, Melbourne",CBD,-37.81973713,144.9570884,$100.00 ,European
Cumulus Up,"European, Contemporary",4.4,CBD,"Level 1, 45 Flinders Lane, CBD, Melbourne",CBD,-37.81490215,144.9732521,$60.00 ,European
Collins Quarter,"European, Modern Australian",4.2,CBD,"86 Collins Street, CBD, Melbourne",CBD,-37.81416131,144.970713,$50.00 ,European
Bar Ampere,"European, Bar Food",4.2,CBD,"16 Russell Place, CBD, Melbourne",CBD,-37.81371554,144.9674012,$30.00 ,European
Hophaus,"European, German",4,"Southgate, Southbank","Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne","Southgate, Southbank",-37.82037197,144.9658053,$60.00 ,European
Swiss Club Restaurant,"European, Swiss",4.1,CBD,"Level 1, 89 Flinders Lane, CBD, Melbourne",CBD,-37.8152666,144.9713276,$50.00 ,European
Boho,"European, Bar Food",4.2,"DFO South Wharf, South Wharf","DFO South Wharf, 35 Dukes Walk, South Wharf, Melbourne","DFO South Wharf, South Wharf",-37.8242254,144.9494894,$40.00 ,European
The Deck Southbank,European,4.2,"Southgate, Southbank","Southgate, Upper Level, 3 Southgate Avenue, Southbank, Melbourne","Southgate, Southbank",-37.82019638,144.9669144,$65.00 ,European
Heartattack and Vine,"Coffee and Tea, Cafe Food, European",4.2,Carlton,"329 Lygon Street, Carlton, Melbourne",Carlton,-37.7976491,144.9673093,$30.00 ,European
European Bier Cafe,"Bar Food, Modern Australian",2.9,CBD,"120 Exhibition Street, CBD, Melbourne",CBD,-37.81296303,144.9711972,$50.00 ,European
Alluvial Restaurant,"Modern Australian, European",3.8,"Intercontinental Melbourne, The Rialto","InterContinental Melbourne - The Rialto, 495 Collins Street, CBD, Melbourne","Intercontinental Melbourne, The Rialto",-37.81882684,144.9581814,$35.00 ,European
Pizza al Taglio Stellini Bar,"Italian, European",4.1,CBD,"198 Little Collins Street, CBD, Melbourne",CBD,-37.81410516,144.9674635,$45.00 ,European
The General Assembly,"European, Modern Australian",3.7,"DFO South Wharf, South Wharf","DFO South Wharf, 29 South Wharf Promenade, South Wharf, Melbourne","DFO South Wharf, South Wharf",-37.8244611,144.9521575,$65.00 ,European
Masani Italian Dining & Terrace,"European, Italian",3.6,Carlton,"313 Drummond Street, Carlton, Melbourne",Carlton,-37.79843806,144.9687088,$60.00 ,European
Royal St. Collins,"European, Desserts, Coffee and Tea",2.9,"St Collins Lane, CBD","St Collins Lane, Ground Level, 260 Collins Street, CBD, Melbourne","St Collins Lane, CBD",-37.81542499,144.9650338,$50.00 ,European
Sassy.x Restaurant & Bar,"European, Asian Fusion",3.8,West Melbourne,"9 Dryburgh Street, West Melbourne, Melbourne",West Melbourne,-37.80686062,144.9426454,$50.00 ,European
Dmarco Espresso Bar,"European, Coffee and Tea, Cafe Food",4.1,Paramount Centre,"Paramount Centre, Ground Level, Shop 11, 108 Little Bourke Street, CBD, Melbourne",Paramount Centre,-37.81139682,144.969501,$17.50 ,European
Omnia Bistro & Bar,European,3.5,South Yarra,"625 Chapel Street, South Yarra VIC",South Yarra,-37.83897778,144.9955593,$80.00 ,European
Capri Cafe & Lounge,"European, Modern Australian, Australian",3.2,"New Quay, Docklands","28 Aquitania Way, Docklands, Melbourne","New Quay, Docklands",-37.81411655,144.9428536,$50.00 ,European
Spencer & Co Wine Bar Provedore,"Bar Food, European, Mediterranean",4,Carlton North,"639 Rathdowne Street, Carlton North, Melbourne",Carlton North,-37.79022331,144.9715955,$40.00 ,European
Domain Brasserie,"European, Cafe Food",2.8,South Yarra,"181 Domain Road, South Yarra, Melbourne",South Yarra,-37.83421926,144.9821483,$40.00 ,European
The Cliveden Bar & Dining,"Mediterranean, European",3.6,Hotel Pullman Melbourne on the Park East Melbourne,"Pullman Mebourne on the Park, 192 Wellington Parade, East Melbourne, Melbourne",Hotel Pullman Melbourne on the Park East Melbourne,-37.81593777,144.9830686,$75.00 ,European
Doc Martin's,"European, Modern Australian",3.8,CBD,"86A Collins Street, CBD, Melbourne",CBD,-37.81415708,144.9707097,$50.00 ,European
Blues Bar & Grill,"European, Tapas, Modern Australian",3.1,Carlton,"701 Swanston Street, Carlton, Melbourne",Carlton,-37.80160465,144.9636079,$55.00 ,European
Hemingway's Wine Room,"European, French",0,East Melbourne,"150 Wellington Parade, East Melbourne, Melbourne",East Melbourne,-37.816107,144.984955,$80.00 ,European
Nick and Nora's,European,0,CBD,"Entrance 11, Benson Walk, 80 Collins Street, CBD, Melbourne",CBD,-37.81369,144.97083,$75.00 ,European
