name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Tipo 00,Italian,4.9,CBD,"361 Little Bourke Street, CBD, Melbourne",CBD,-37.81352774,144.9619734,$75.00 ,Italian
+39 Pizzeria,"Pizza, Italian",4.6,CBD,"362 Little Bourke Street, CBD, Melbourne",CBD,-37.81349066,144.961845,$50.00 ,Italian
Osteria Ilaria,Italian,4.5,CBD,"367 Little Bourke Street, CBD, Melbourne",CBD,-37.81356615,144.9618923,$70.00 ,Italian
Maccaroni Trattoria Italiana,Italian,4.4,CBD,"10-12, Manchester Lane, CBD, Melbourne",CBD,-37.81600716,144.9659581,$45.00 ,Italian
Il Solito Posto,Italian,4.6,CBD,"Basement, 113 Collins Street, CBD, Melbourne",CBD,-37.81492069,144.9702775,$55.00 ,Italian
Pellegrini's Espresso Bar,Italian,4.3,CBD,"66 Bourke Street, CBD, Melbourne",CBD,-37.81181904,144.9712444,$30.00 ,Italian
Il Bacaro Cucina e Bar,Italian,4.7,CBD,"168-170 Little Collins Street, CBD, Melbourne",CBD,-37.81391896,144.9680127,$100.00 ,Italian
Vapiano,"Italian, Pizza",3.9,CBD,"334 Flinders Lane, CBD, Melbourne",CBD,-37.81758679,144.9629316,$30.00 ,Italian
Ombra Salumi Bar,"Italian, Pizza",4.5,CBD,"76 Bourke Street, CBD, Melbourne",CBD,-37.81189876,144.9710326,$60.00 ,Italian
European,"European, Italian",4.5,CBD,"Ground Floor, 161 Spring Street, CBD, Melbourne",CBD,-37.81089567,144.9727213,$60.00 ,Italian
Lupino,Italian,4.5,CBD,"41 Little Collins Street, CBD, Melbourne",CBD,-37.81273577,144.9723572,$70.00 ,Italian
Cecconi's Flinders Lane Restaurant,"European, Italian",4.4,CBD,"61 Flinders Lane, CBD, Melbourne",CBD,-37.81493022,144.9725923,$65.00 ,Italian
Pepe's Italian & Liquor,"European, Italian, Pizza",4.2,Trunk,"275 Exhibition Street, CBD, Melbourne",Trunk,-37.80940278,144.9690668,$65.00 ,Italian
Lello Pasta Bar,Italian,4.3,CBD,"150 Flinders Lane, CBD, Melbourne",CBD,-37.81575634,144.969328,$60.00 ,Italian
Gradi Crown,"Italian, Pizza",4.1,"Crown Melbourne, Southbank","Crown Melbourne, Ground Level, 8 Whiteman Street, Southbank, Melbourne","Crown Melbourne, Southbank",-37.82303284,144.9584594,$75.00 ,Italian
La Camera Southgate,"Italian, Pizza",4.2,"Southgate, Southbank","Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne","Southgate, Southbank",-37.82008408,144.9666981,$47.50 ,Italian
Massi,Italian,4.1,CBD,"445 Little Collins Street, CBD, Melbourne",CBD,-37.81638433,144.9599192,$50.00 ,Italian
Pentolina,"Italian, Australian",4.1,CBD,"Shop 2, 377 Little Collins Street, CBD, Melbourne, Melbourne",CBD,-37.81586997,144.9623995,$70.00 ,Italian
The Mess Hall,Italian,4.2,CBD,"51 Bourke Street, CBD, Melbourne",CBD,-37.81180553,144.9717326,$42.50 ,Italian
Grossi - Cellar Bar,Italian,4.2,CBD,"80 Bourke Street, CBD, Melbourne",CBD,-37.81190194,144.9709524,$45.00 ,Italian
Tutto Bene,Italian,4.1,"Southgate, Southbank","Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne","Southgate, Southbank",-37.82031662,144.9660379,$50.00 ,Italian
Trattoria Emilia,Italian,3.9,CBD,"360 Little Collins Street, CBD, Melbourne",CBD,-37.81542102,144.9627616,$60.00 ,Italian
SPQR Pizzeria,"Italian, Pizza",4.2,CBD,"26 Liverpool Street, CBD, Melbourne",CBD,-37.81106652,144.9713615,$40.00 ,Italian
Pink. The Restaurant,Italian,2.1,CBD,"Level 1, 157 Swanston Street, CBD, Melbourne",CBD,-37.81406967,144.9657835,$60.00 ,Italian
