name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Rooftop Bar and Cinema,Bar Food,4.5,Curtin House,"Curtin House, Rooftop, 252 Swanston Street, CBD, Melbourne",Curtin House,-37.81202538,144.9652678,$30.00 ,Outdoor
Arbory Bar and Eatery,Modern Australian,4.3,CBD,"Flinders Walk, Flinders Street, CBD, Melbourne",CBD,-37.81917062,144.9659276,$45.00 ,Outdoor
The Moat,Italian,4.5,CBD,"Basement, 176 Little Lonsdale Street, CBD, Melbourne",CBD,-37.81026286,144.9652578,$50.00 ,Outdoor
Campari House,"Italian, Bar Food",3.9,CBD,"25 Hardware Lane, CBD, Melbourne",CBD,-37.81402544,144.9614376,$55.00 ,Outdoor
Siglo,"Bar Food, Modern Australian",4.3,CBD,"Level 2, 161 Spring Street, CBD, Melbourne",CBD,-37.81092825,144.9726493,$40.00 ,Outdoor
City Wine Shop,European,4.6,CBD,"159 Spring Street, CBD, Melbourne",CBD,-37.81092878,144.9727197,$40.00 ,Outdoor
Loop Roof,"Contemporary, Bar Food",3.8,CBD,"Level 3, 23 Meyers Place, CBD, Melbourne",CBD,-37.81217556,144.9722479,$40.00 ,Outdoor
Asian Beer Cafe,Bar Food,3.6,"Melbourne Central, CBD","Melbourne Central, Level 3, Corner of Swanston Street and La Trobe Street, CBD, Melbourne","Melbourne Central, CBD",-37.81023108,144.9632883,$40.00 ,Outdoor
Fatto Bar & Cantina,"Italian, Pizza, Bar Food",4,Southbank,"Hamer Hall, River Terrace, 100 St Kilda Road, Southbank, Melbourne",Southbank,-37.81996993,144.9681136,$45.00 ,Outdoor
The Rooftop at QT,Bar Food,3.9,QT Hotel,"QT Hotel, Level 11, 133 Russell Street, CBD, Melbourne",QT Hotel,-37.81336246,144.968121,$40.00 ,Outdoor
Riverland,"Modern Australian, Bar Food",4,"Federation Square, CBD","Vaults 1-9, Federation Wharf, Federation Square, Corner Swanston Street and Flinders Street, CBD, Melbourne","Federation Square, CBD",-37.81879055,144.9687839,$40.00 ,Outdoor
Dodee Paidang,Thai,4.6,CBD,"Basement, 353 Equitable Place, CBD, Melbourne",CBD,-37.81575952,144.9631257,$37.50 ,Outdoor
The Emerald Peacock,Bar Food,4,CBD,"233 Lonsdale Street, CBD, Melbourne",CBD,-37.81144079,144.9656249,$40.00 ,Outdoor
The Imperial Hotel,"Pizza, Pub Food",3.9,CBD,"2-8 Bourke Street, CBD, Melbourne",CBD,-37.81134994,144.9728722,$50.00 ,Outdoor
Miznon,"Israeli, Mediterranean, Middle Eastern",4.5,CBD,"59 Hardware Lane, CBD, Melbourne",CBD,-37.81345464,144.9611097,$30.00 ,Outdoor
The Boatbuilders Yard,"Bar Food, Modern Australian",3.9,South Wharf,"23 South Wharf Promenade, South Wharf, Melbourne",South Wharf,-37.82417349,144.953169,$30.00 ,Outdoor
Whitehart,Bar Food,3.7,CBD,"22 Whitehart Lane, CBD, Melbourne",CBD,-37.81295456,144.9619472,$40.00 ,Outdoor
Beer DeLuxe,"Bar Food, Pizza, Burger",3.6,"Federation Square, CBD","Federation Square, The Atrium, Corner Swanston Street and Flinders Street, CBD, Melbourne","Federation Square, CBD",-37.81765936,144.9695479,$40.00 ,Outdoor
