name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Supernormal,"Asian, Fusion",4.5,CBD,"180 Flinders Lane, CBD, Melbourne",CBD,-37.81604795,144.9683725,$70.00 ,Street food
Coda,"Asian, Fusion",4.6,CBD,"Entrance at Oliver Lane, Basement, 141 Flinders Lane, CBD, Melbourne",CBD,-37.81582176,144.969964,$72.50 ,Street food
Melbourne Hwaro Korean BBQ Restaurant,"Korean BBQ, Korean, Asian",4.4,CBD,"562 Little Bourke Street, CBD, Melbourne",CBD,-37.81522396,144.955748,$42.50 ,Street food
Meatmaiden,"BBQ, Steak",4.4,CBD,"195 Little Collins Street, CBD, Melbourne",CBD,-37.81412158,144.9677804,$60.00 ,Street food
Mjolner,"Modern Australian, BBQ",4.4,CBD,"Ground Floor, 106 Hardware Street, CBD",CBD,-37.81205716,144.9605672,$70.00 ,Street food
Universal Restaurant,"Italian, Modern Australian",4.4,Carlton,"141 Lygon Street, Carlton, Melbourne",Carlton,-37.80387811,144.9662401,$35.00 ,Street food
G2 Korean BBQ,"Korean BBQ, Korean",4,CBD,"301 Elizabeth Street, CBD, Melbourne",CBD,-37.81158462,144.9618232,$45.00 ,Street food
Ying Thai 2,Thai,4.4,Carlton,"110 Lygon Street, Carlton, Melbourne",Carlton,-37.80448129,144.9664648,$40.00 ,Street food
Uncle Collins Street,Vietnamese,4,CBD,"Level 1, 15 Collins Street, CBD, Melbourne",CBD,-37.81370282,144.9733245,$70.00 ,Street food
Kaprica,"Italian, Pizza, Coffee and Tea",4.5,Carlton,"19 Lincoln Square South, Carlton, Melbourne",Carlton,-37.80324498,144.96282,$40.00 ,Street food
Shanxi Street Food,Chinese,3.3,CBD,"260 Russell Steet, CBD, Melbourne",CBD,-37.81029333,144.967079,$25.00 ,Street food
Donwoori,"Korean BBQ, Korean",4.4,North Melbourne,"276 Victoria Street, North Melbourne, Melbourne",North Melbourne,-37.80590196,144.9572815,$30.00 ,Street food
Mapo Grill & Bar,"Korean, Korean BBQ, Asian",4.3,CBD,"21 Healeys Lane, CBD",CBD,-37.81330366,144.9556729,$40.00 ,Street food
Kedai Satay King Street,Indonesian,4.5,CBD,"186 King Street, CBD, Melbourne",CBD,-37.81572879,144.9556202,$27.50 ,Street food
Little Africa,"African, Ethiopian",4.5,North Melbourne,"358 Victoria Street, North Melbourne, Melbourne",North Melbourne,-37.80558806,144.9543194,$32.50 ,Street food
La Luna Bistro,"Modern European, Steak, Mediterranean",4.7,Carlton North,"320 Rathdowne Street, Carlton North, Melbourne",Carlton North,-37.79113343,144.9718352,$80.00 ,Street food
La Spaghettata,"Italian, Seafood, Crepes, Parma",4.3,Carlton,"238 Lygon Street, Carlton, Melbourne",Carlton,-37.80160067,144.9669995,$40.00 ,Street food
The French Brasserie,"French, European",4.4,CBD,"2 Malthouse Lane, CBD, Melbourne",CBD,-37.81548989,144.9715479,$72.50 ,Street food
The Waiters Restaurant,Italian,4.2,CBD,"20 Meyers Place, CBD, Melbourne",CBD,-37.81213265,144.9723307,$30.00 ,Street food
Dragon Hot Pot,"Malatang, Hot Pot",4.1,CBD,"213 Russell Street, CBD, Melbourne",CBD,-37.8115576,144.9674079,$30.00 ,Street food
Scopri Italian Food & Wine,Italian,4.9,Carlton,"191 Nicholson Street, Carlton, Melbourne",Carlton,-37.79571828,144.9751149,$90.00 ,Street food
Souk,"Middle Eastern, Bar Food",3.9,CBD,"13 Bligh Place, CBD, Melbourne",CBD,-37.81705893,144.9636799,$75.00 ,Street food
Sonny's Fried Chicken & Burgers,"American, Fried Chicken",4,Carlton,"29 Lygon Street, Carlton, Melbourne",Carlton,-37.80618805,144.9658465,$30.00 ,Street food
By Korea,"Korean, Asian",4.1,CBD,"7 Tattersalls Lane, CBD, Melbourne",CBD,-37.81210669,144.9656762,$25.00 ,Street food
Killiney Kopitiam Bourke Street,"Asian, Malaysian",3.5,CBD,"Shop 11, 108 Bourke Street, CBD, Melbourne",CBD,-37.81216523,144.9701789,$20.00 ,Street food
Papa Gino's,"Italian, Pizza",4.2,Carlton,"221 Lygon Street, Carlton, Melbourne",Carlton,-37.800239,144.966912,$50.00 ,Street food
