name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
La Belle Miette,"Desserts, French, Coffee and Tea",4.8,CBD,"30 Hardware Lane, CBD, Melbourne",CBD,-37.81400716,144.961446,$10.00 ,Desserts
Om Nom Kitchen - Adelphi Hotel,"Desserts, Modern Australian",4.3,CBD,"Adelphi Hotel, 187 Flinders Lane, CBD, Melbourne",CBD,-37.81620952,144.9683128,$75.00 ,Desserts
Scoopy Milk Bar,"Korean, Desserts, Asian",4.7,CBD,"33 Guildford Lane, CBD, Melbourne",CBD,-37.81140689,144.9598635,$15.00 ,Desserts
Dex2rose Nitrogen Gelato,"Desserts, Ice Cream",4.3,CBD,"377 Little Bourke Street, CBD, Melbourne",CBD,-37.81381539,144.9616492,$12.50 ,Desserts
Kyo Teahouse,"Japanese, Desserts, Tea",4.5,Emporium Melbourne,"Emporium Melbourne, Lower Ground, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.81274451,144.9637956,$10.00 ,Desserts
Waffle On,Desserts,4.6,CBD,"9 Degraves Street, CBD, Melbourne",CBD,-37.81741728,144.9658924,$17.50 ,Desserts
Pidapipo,"Ice Cream, Desserts",4.9,Carlton,"299 Lygon Street, Carlton, Melbourne",Carlton,-37.79833103,144.9671863,$7.50 ,Desserts
Little Cupcakes,"Desserts, Coffee and Tea",4.5,CBD,"Shop 7, Degraves Street, CBD, Melbourne",CBD,-37.81752667,144.9659213,$12.50 ,Desserts
IL Dolce Freddo,Desserts,4.7,Carlton,"116 Lygon Street, Carlton, Melbourne",Carlton,-37.80431282,144.9664591,$7.50 ,Desserts
Dessert Story,Desserts,3.9,CBD,"195 Little Bourke Street, CBD, Melbourne",CBD,-37.81213662,144.9668074,$12.50 ,Desserts
Doughboys Doughnuts,"Coffee and Tea, Desserts",4,CBD,"535 Bourke Street, CBD, Melbourne",CBD,-37.81595075,144.9578592,$10.00 ,Desserts
Sweetie & Moustache Dessert Lounge,Desserts,2.1,CBD,"Level 3-4, 205 Russell Street, CBD, Melbourne",CBD,-37.81164713,144.9673539,$15.00 ,Desserts
Aqua S,"Desserts, Ice Cream",4,"QV Centre, CBD","QV Centre, Level 2, 16 Red Cape Lane, CBD, Melbourne","QV Centre, CBD",-37.81068482,144.9651994,$7.50 ,Desserts
Burch & Purchese Sweet Studio,Desserts,4.8,South Yarra,"647 Chapel Street, South Yarra, Melbourne",South Yarra,-37.83772086,144.9958983,$12.50 ,Desserts
CHE Desserts,"Desserts, Beverages, Vietnamese",4,CBD,"359 Lonsdale Street, CBD, Melbourne, Melbourne",CBD,-37.81250268,144.9619503,$7.50 ,Desserts
Hui Lau Shan,"Asian, Desserts",4,CBD,"425 Elizabeth Street, CBD, Melbourne",CBD,-37.80900837,144.9606185,$20.00 ,Desserts
Gelateria Primavera,"Ice Cream, Desserts",4.4,CBD,"157 Spring Street, CBD, Melbourne",CBD,-37.8110787,144.9727807,$10.00 ,Desserts
Meet Fresh QV,"Beverages, Desserts, Bubble Tea, Taiwanese",4,"QV Centre, CBD","QV Centre, Level 2, 24 Artemis Lane, CBD, Melbourne","QV Centre, CBD",-37.81056298,144.9662535,$15.00 ,Desserts
Harajuku Crepes,"Desserts, Japanese, Crepes",3.9,"Melbourne Central, CBD","Melbourne Central, Level 1, Corner of Swanston Street and La Trobe Street, CBD, Melbourne","Melbourne Central, CBD",-37.81018181,144.9637621,$12.50 ,Desserts
Godiva,"Desserts, Cafe Food",4.2,Emporium Melbourne,"Emporium Melbourne, Level 1, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.81254506,144.9638224,$15.00 ,Desserts
HongKongBoi,"Asian, Desserts, Ice Cream",3.9,CBD,"Shop 2/155 Franklin Street, CBD, Melbourne",CBD,-37.80874957,144.9593421,$17.50 ,Desserts
The Pancake Parlour,"Desserts, Continental",3.7,"Melbourne Central, CBD","Melbourne Central, Level 3, Corner of Swanston Street and La Trobe Street, CBD, Melbourne","Melbourne Central, CBD",-37.81021651,144.963109,$30.00 ,Desserts
Uncle Tetsu,"Bakery, Desserts",4.1,CBD,"55 Swanston Street, CBD, Melbourne",CBD,-37.81641558,144.9668439,$10.00 ,Desserts
Pidapipo Gelateria,"Ice Cream, Desserts",4.4,CBD,"8 Degraves Street, CBD, Melbourne",CBD,-37.81770227,144.9660252,$7.50 ,Desserts
Frozen by a Thousand Blessings,"Desserts, Frozen Yogurt",4.3,"Melbourne Central, CBD","Melbourne Central, Level 2, Corner of Swanston Street and La Trobe Street, CBD, Melbourne","Melbourne Central, CBD",-37.81102758,144.9631814,$7.50 ,Desserts
Chocolateria San Churro,"Beverages, Coffee and Tea, Desserts, Spanish",4,"QV Centre, CBD","QV Centre, Level 2, Corner of Lonsdale Street and Swanston Street, CBD, Melbourne","QV Centre, CBD",-37.81058973,144.96444,$25.00 ,Desserts
BlackBall,"Desserts, Beverages, Taiwanese",3.8,CBD,"Village Centre Arcade, Ground Level, Shop 8, 206 Bourke Street, CBD, Melbourne",CBD,-37.81252732,144.9668178,$10.00 ,Desserts
Nitro Lab,"Desserts, Ice Cream",3.4,CBD,"188 Bourke Street, CBD, Melbourne",CBD,-37.81281073,144.9676959,$10.00 ,Desserts
Moonshine Cake,Desserts,3.8,CBD,"318 Little Collins Street, CBD, Melbourne",CBD,-37.81500439,144.9641118,$15.00 ,Desserts
Maxims Cakes and Pastry,"Bakery, Desserts",4.2,CBD,"173 Little Bourke Street, CBD, Melbourne",CBD,-37.81197876,144.9673472,$7.50 ,Desserts
