name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Lune Croissanterie,"Bakery, French",4.5,CBD,"Entrance on Russell Street, 161 Collins Street, CBD, Melbourne",CBD,-37.81564854,144.969276,$12.50 ,French
La Petite Creperie,French,4.4,CBD,"Corner Little Collins and Swanston Street, CBD, Melbourne",CBD,-37.8146688,144.9660698,$10.00 ,French
Philippe,French,4.3,CBD,"115 Collins Street, CBD, Melbourne",CBD,-37.81476574,144.9701146,$75.00 ,French
Bistro Guillaume,French,4.3,"Crown Melbourne, Southbank","Crown Melbourne, Ground Level, 8 Whiteman Street, Southbank, Melbourne","Crown Melbourne, Southbank",-37.82232281,144.9594263,$90.00 ,French
French Saloon Bar & Bistro,French,4,CBD,"Level 1, 46 Hardware Lane, CBD, Melbourne",CBD,-37.81359767,144.9612928,$75.00 ,French
Aix Cafe Creperie Salon,"French, Crepes, Coffee and Tea, Cafe Food",4.2,CBD,"24 Centre Place, CBD, Melbourne",CBD,-37.81643942,144.9654834,$20.00 ,French
Beneath Driver Lane,"Bar Food, French",4,CBD,"Shop 3, Driver Lane, CBD",CBD,-37.81293522,144.963049,$30.00 ,French
Chez Olivier - Le Bistro,French,4.6,South Yarra,"268 Toorak Road, South Yarra, Melbourne",South Yarra,-37.83968924,144.9962963,$75.00 ,French
Bergerac,"French, European",4.3,CBD,"555 Lonsdale Street, CBD, Melbourne",CBD,-37.81417297,144.9562117,$70.00 ,French
Bar Margaux,French,3.9,CBD,"Basement, 111, Lonsdale Street, CBD, Melbourne",CBD,-37.81048987,144.969102,$55.00 ,French
Noisette,"Cafe Food, French",4.4,Port Melbourne,"84 Bay Street, Port Melbourne, Melbourne",Port Melbourne,-37.84164142,144.9397325,$15.00 ,French
Bistro Gitan,French,4.4,South Yarra,"52 Toorak Road West, South Yarra, Melbourne",South Yarra,-37.83731785,144.9791838,$60.00 ,French
The Hardware Societe,"French, Cafe Food, Coffee and Tea",4,CBD,"The Archway, 10 Katherine Place, CBD, Melbourne",CBD,-37.8200764,144.9565728,$32.50 ,French
La Parisienne,"Bakery, French, Cafe Food",4.2,South Yarra,"15-17 Toorak Road, South Yarra, Melbourne",South Yarra,-37.83830179,144.9870232,$25.00 ,French
Paris Go,"European, French",4.2,Carlton,"116 Rathdowne Street, Carlton, Melbourne",Carlton,-37.79694969,144.97076,$60.00 ,French
Ned's Bake,"French, Bakery, Cafe Food",3.7,South Yarra,"134 Toorak Road, South Yarra, Melbourne",South Yarra,-37.83898493,144.9908138,$30.00 ,French
Ganache Chocolate,"French, Desserts, Coffee and Tea",4.3,South Yarra,"250 Toorak Road, South Yarra, Melbourne",South Yarra,-37.83956268,144.9952871,$15.00 ,French
The French Quarter - Patisserie Boulangerie,"Bakery, French",3.8,North Melbourne,"570 Queensberry Street, North Melbourne, Melbourne",North Melbourne,-37.80281847,144.9484195,$15.00 ,French
French Fix,"Coffee and Tea, French, Sandwich",3.9,CBD,"Shop 3, 221 Queen Street, CBD, Melbourne",CBD,-37.81351768,144.9598642,$15.00 ,French
La Creperie Saint-Germain,"French, Crepes",3.4,The Block Arcade,"The Block Arcade, Shop 9-10, 290 Collins Street, CBD, Melbourne",The Block Arcade,-37.81551743,144.9644142,$25.00 ,French
La Petite Creperie,"French, Desserts",3.7,"QV Centre, CBD","QV Centre, Level 2, Corner of Lonsdale Street and Swanston Street, CBD, Melbourne","QV Centre, CBD",-37.81038974,144.9657302,$10.00 ,French
Betty's Burgers & Concrete Co.,"American, Burger",4.3,CBD,"97 Elizabeth Street, CBD, Melbourne",CBD,-37.81598677,144.9638198,$20.00 ,French
Royal Stacks,"American, Burger",4.3,CBD,"470 Collins Street, CBD, Melbourne",CBD,-37.81772134,144.958454,$25.00 ,French
Stockroom567,"European, French, Italian",3.2,567 Collins Street,"567 Collins Street, CBD, Melbourne",567 Collins Street,-37.8191338,144.9555894,$30.00 ,French
