name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Calia,"Japanese, Australian, Asian",4.5,Emporium Melbourne,"Emporium Melbourne, Ground Floor, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.8127461,144.9639669,$50.00 ,Japanese
Gypsy & Pig,Japanese,4.5,CBD,"Shop 3, 391 Little Lonsdale Street, CBD, Melbourne",CBD,-37.8117793,144.9603047,$35.00 ,Japanese
Hakata Gensuke Ramen Professionals,"Ramen, Japanese",4.7,CBD,"168 Russell Street, CBD, Melbourne",CBD,-37.81233608,144.9680422,$25.00 ,Japanese
Kisume,Japanese,4.5,CBD,"175 Flinders Lane, CBD, Melbourne",CBD,-37.81609166,144.96864,$75.00 ,Japanese
Sakura Kaiten Sushi,"Sushi, Japanese",4.6,CBD,"61 Little Collins Street, CBD, Melbourne",CBD,-37.81289284,144.9717514,$30.00 ,Japanese
Don Don,"Japanese, Asian",4.6,CBD,"198 Little Lonsdale Street, CBD, Melbourne",CBD,-37.81076031,144.9635955,$15.00 ,Japanese
Mugen Ramen & Bar,"Japanese, Ramen",4.4,CBD,"11 Bligh Place, CBD, Melbourne",CBD,-37.81721016,144.9637108,$45.00 ,Japanese
Shoya Nouvelle Wafu Cuisine,"Japanese, Sushi, Japanese BBQ",4.7,CBD,"25 Market Lane, CBD, Melbourne",CBD,-37.81178089,144.9692288,$70.00 ,Japanese
Tetsujin,"Sushi, Japanese, Japanese BBQ",4.2,Emporium Melbourne,"Emporium Melbourne, Level 4, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.81224946,144.9643441,$75.00 ,Japanese
Shimbashi Soba & Sake Bar,"Japanese, Tapas",4.6,CBD,"17 Liverpool Street, CBD, Melbourne",CBD,-37.81133616,144.9714007,$27.50 ,Japanese
Little Ramen Bar,"Japanese, Ramen",4.3,CBD,"346, Little Bourke Street, CBD",CBD,-37.81335452,144.9622896,$30.00 ,Japanese
Shou Sumiyaki,"Japanese, Japanese BBQ",4.4,CBD,"160 Little Bourke Street, CBD, Melbourne",CBD,-37.81174196,144.9678598,$37.50 ,Japanese
Purple Peanuts Japanese Cafe,"Japanese, Sushi",4.6,CBD,"620 Collins Street, CBD, Melbourne",CBD,-37.81884644,144.954549,$20.00 ,Japanese
