name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one
Shanghai Street Dumpling & Mini Juicy Bun,"Chinese, Dumplings",4.5,-37.81330393,144.962422,Chinese,normal,"342 Little Bourke Street, CBD, Melbourne",$25.00
Wonderbao,"Chinese, Taiwanese",4.7,-37.80897737,144.9627717,Chinese,normal,"Shop 4, 19-37 A'Beckett Street, CBD, Melbourne",$10.00
HuTong Dumpling Bar,Chinese,4.3,-37.81194353,144.9693951,Chinese,normal,"14-16 Market Lane, CBD, Melbourne",$50.00
Shandong Mama,"Chinese, Dumplings",4.3,-37.81258215,144.9673267,Chinese,normal,"Midcity Arcade, Ground Level, Shop 7-8, 200 Bourke Street, CBD, Melbourne",$30.00
Flower Drum,Chinese,4.6,-37.81192737,144.9692998,Chinese,normal,"17 Market Lane, CBD, Melbourne",$100.00
Tim Ho Wan,"Chinese, Yum Cha",3.4,-37.81294449,144.9671165,Chinese,normal,"Village Centre Arcade, Ground Level, 206 Bourke Street, CBD, Melbourne",$25.00
New Shanghai - Emporium,Chinese,4.2,-37.8123035,144.9633805,Chinese,normal,"Emporium Melbourne, Level 3, 287 Lonsdale Street, CBD, Melbourne",$50.00
Secret Kitchen,"Chinese, Yum Cha",4.2,-37.81097805,144.9702772,Chinese,normal,"222 Exhibition Street, CBD, Melbourne",$35.00
Korchi City,"Korean, Chinese",4.2,-37.81420449,144.9596094,Chinese,normal,"441 Little Bourke Street, CBD, Melbourne",$35.00
Supper Inn,Chinese,4.2,-37.81190645,144.9662237,Chinese,normal,"15 Celestial Avenue, CBD, Melbourne",$30.00
Oriental Teahouse,"Chinese, Yum Cha",4.1,-37.8156398,144.9621045,Chinese,normal,"378 Little Collins Street, CBD, Melbourne",$25.00
Spice Temple,"Chinese, Fusion, Yum Cha",4.4,-37.822005,144.9600586,Chinese,normal,"Crown Melbourne, Ground Level, 8 Whiteman Street, Southbank, Melbourne",$100.00
China Red,Chinese,4.2,-37.81259777,144.9668882,Chinese,normal,"Shop 6, 206 Bourke Street, CBD, Melbourne",$40.00
Crystal Jade,"Chinese, Seafood",4.3,-37.81169454,144.9680452,Chinese,normal,"154 Little Bourke Street, CBD, Melbourne",$65.00
Shanghai Village Dumpling,"Chinese, Dumplings",3.8,-37.81136689,144.9691574,Chinese,normal,"112-114 Little Bourke Street, CBD, Melbourne",$25.00
Sarawak Kitchen,"Chinese, Malaysian",4.2,-37.80797185,144.96013,Chinese,normal,"469 Elizabeth Street, CBD, Melbourne",$17.50
Lanzhou Beef Noodle Bar,"Chinese, Fast Food",4.4,-37.80981547,144.9610011,Chinese,normal,"379 Elizabeth Street, CBD, Melbourne",$20.00
Dumplings Plus,"Dumplings, Chinese",4.1,-37.81191995,144.9647951,Chinese,normal,"269 Swanston Street, CBD, Melbourne",$25.00
Laksa King,"Malaysian, Chinese",4.6,-37.78779575,144.9294969,Chinese,normal,"6-12 Pin Oak Crescent, Flemington, Melbourne",$35.00
Noodle Express by Dainty Sichuan,"Chinese, Sichuan",4.1,-37.81276411,144.9637923,Chinese,normal,"Emporium Melbourne, Lower Ground, 287 Lonsdale Street, CBD, Melbourne",$20.00
Dainty Sichuan Food - Mini Hot Pot,"Sichuan, Chinese, Hot Pot",4,-37.81075766,144.9679487,Chinese,normal,"149-155 Lonsdale Street, CBD, Melbourne",$40.00
House of Delight,"Chinese, Yum Cha, Hot Pot",3.5,-37.81268386,144.9670139,Chinese,normal,"Village Centre Arcade, Level 1, 206 Bourke Street, CBD, Melbourne",$40.00
Ling Nan,Chinese,4.1,-37.81211384,144.9665653,Chinese,normal,"204 Little Bourke Street, CBD, Melbourne",$40.00
The Crane Restaurant,"Chinese, Sichuan, Dumplings",4.1,-37.81217159,144.9663645,Chinese,normal,"212A Little Bourke Street, CBD, Melbourne",$30.00
David's Spicy Pot - Elizabeth Street,"Chinese, Malatang",4.4,-37.80791755,144.9604298,Chinese,normal,"462 Elizabeth Street, CBD, Melbourne",$30.00
Shanghai Street Xiaolongbao & Dumpling,Chinese,4.1,-37.81160263,144.9683775,Chinese,normal,"146-148 Little Bourke Street, CBD, Melbourne",$25.00
