name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one
European,"European, Italian",4.5,-37.81089567,144.9727213,European,normal,"Ground Floor, 161 Spring Street, CBD, Melbourne",$60.00
Epocha,"European, Mediterranean",4.5,-37.80607097,144.9689156,European,normal,"49 Rathdowne Street, Carlton, Melbourne",$80.00
Cecconi's Flinders Lane Restaurant,"European, Italian",4.4,-37.81493022,144.9725923,European,normal,"61 Flinders Lane, CBD, Melbourne",$65.00
Pepe's Italian & Liquor,"European, Italian, Pizza",4.2,-37.80940278,144.9690668,European,normal,"275 Exhibition Street, CBD, Melbourne",$65.00
The French Brasserie,"French, European",4.4,-37.81548989,144.9715479,European,normal,"2 Malthouse Lane, CBD, Melbourne",$72.50
City Wine Shop,European,4.6,-37.81092878,144.9727197,European,normal,"159 Spring Street, CBD, Melbourne",$40.00
Denmark House,"Danish, European",4.2,-37.8140702,144.959785,European,normal,"Level 3, 428 Little Bourke Street, CBD",$70.00
State of Grace,European,4.1,-37.81973713,144.9570884,European,normal,"27 King Street, CBD, Melbourne",$100.00
Cumulus Up,"European, Contemporary",4.4,-37.81490215,144.9732521,European,normal,"Level 1, 45 Flinders Lane, CBD, Melbourne",$60.00
Collins Quarter,"European, Modern Australian",4.2,-37.81416131,144.970713,European,normal,"86 Collins Street, CBD, Melbourne",$50.00
Bottega,"European, Italian, Modern Australian",4.1,-37.81187784,144.9711204,European,normal,"74 Bourke Street, CBD, Melbourne",$65.00
Bar Ampere,"European, Bar Food",4.2,-37.81371554,144.9674012,European,normal,"16 Russell Place, CBD, Melbourne",$30.00
Hophaus,"European, German",4,-37.82037197,144.9658053,European,normal,"Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne",$60.00
Swiss Club Restaurant,"European, Swiss",4.1,-37.8152666,144.9713276,European,normal,"Level 1, 89 Flinders Lane, CBD, Melbourne",$50.00
Boho,"European, Bar Food",4.2,-37.8242254,144.9494894,European,normal,"DFO South Wharf, 35 Dukes Walk, South Wharf, Melbourne",$40.00
The Carlton Wine Room,"European, Italian",4.4,-37.79867887,144.9685995,European,normal,"172-174 Faraday Street, Carlton, Melbourne",$70.00
Ciao Cielo,"Italian, European",4.5,-37.84040016,144.9404544,European,normal,"115 Bay Street, Port Melbourne, Melbourne",$70.00
The Deck Southbank,European,4.2,-37.82019638,144.9669144,European,normal,"Southgate, Upper Level, 3 Southgate Avenue, Southbank, Melbourne",$65.00
Bergerac,"French, European",4.3,-37.81417297,144.9562117,European,normal,"555 Lonsdale Street, CBD, Melbourne",$70.00
Heartattack and Vine,"Coffee and Tea, Cafe Food, European",4.2,-37.7976491,144.9673093,European,normal,"329 Lygon Street, Carlton, Melbourne",$30.00
European Bier Cafe,"Bar Food, Modern Australian",2.9,-37.81296303,144.9711972,European,normal,"120 Exhibition Street, CBD, Melbourne",$50.00
Sosta Cucina,"Italian, Mediterranean, European",4.4,-37.80481216,144.9494716,European,normal,"12, Errol Street, North Melbourne, Melbourne",$50.00
Alluvial Restaurant,"Modern Australian, European",3.8,-37.81882684,144.9581814,European,normal,"InterContinental Melbourne - The Rialto, 495 Collins Street, CBD, Melbourne",$35.00
Pizza al Taglio Stellini Bar,"Italian, European",4.1,-37.81410516,144.9674635,European,normal,"198 Little Collins Street, CBD, Melbourne",$45.00
Paris Go,"European, French",4.2,-37.79694969,144.97076,European,normal,"116 Rathdowne Street, Carlton, Melbourne",$60.00
The General Assembly,"European, Modern Australian",3.7,-37.8244611,144.9521575,European,normal,"DFO South Wharf, 29 South Wharf Promenade, South Wharf, Melbourne",$65.00
