name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one
Gypsy & Pig,Japanese,4.5,-37.8117793,144.9603047,Japanese,normal,"Shop 3, 391 Little Lonsdale Street, CBD, Melbourne",$35.00
Hakata Gensuke Ramen Professionals,"Ramen, Japanese",4.7,-37.81233608,144.9680422,Japanese,normal,"168 Russell Street, CBD, Melbourne",$25.00
Kisume,Japanese,4.5,-37.81609166,144.96864,Japanese,normal,"175 Flinders Lane, CBD, Melbourne",$75.00
Sakura Kaiten Sushi,"Sushi, Japanese",4.6,-37.81289284,144.9717514,Japanese,normal,"61 Little Collins Street, CBD, Melbourne",$30.00
Mugen Ramen & Bar,"Japanese, Ramen",4.4,-37.81721016,144.9637108,Japanese,normal,"11 Bligh Place, CBD, Melbourne",$45.00
Shoya Nouvelle Wafu Cuisine,"Japanese, Sushi, Japanese BBQ",4.7,-37.81178089,144.9692288,Japanese,normal,"25 Market Lane, CBD, Melbourne",$70.00
Shimbashi Soba & Sake Bar,"Japanese, Tapas",4.6,-37.81133616,144.9714007,Japanese,normal,"17 Liverpool Street, CBD, Melbourne",$27.50
Little Ramen Bar,"Japanese, Ramen",4.3,-37.81335452,144.9622896,Japanese,normal,"346, Little Bourke Street, CBD",$30.00
Shou Sumiyaki,"Japanese, Japanese BBQ",4.4,-37.81174196,144.9678598,Japanese,normal,"160 Little Bourke Street, CBD, Melbourne",$37.50
Purple Peanuts Japanese Cafe,"Japanese, Sushi",4.6,-37.81884644,144.954549,Japanese,normal,"620 Collins Street, CBD, Melbourne",$20.00
Kenzan Japanese,"Japanese, Sushi",4.6,-37.8146304,144.9727968,Japanese,normal,"Collins Place, Lower Ground Level, 45 Collins Street, CBD, Melbourne",$80.00
Sushi Hotaru,"Japanese, Sushi",4.3,-37.81243117,144.9673512,Japanese,normal,"Midcity Arcade, Level 1, Shop 118, 200 Bourke Street, CBD, Melbourne",$25.00
Shujinko - Russell St,"Japanese, Ramen",4.2,-37.81132583,144.9672962,Japanese,normal,"225 Russell Street, CBD, Melbourne",$25.00
Niku Ou,"Japanese BBQ, Japanese",4.5,-37.81222721,144.969896,Japanese,normal,"Shops 9-10, 108 Bourke Street, CBD, Melbourne",$50.00
Ippudo,"Japanese, Ramen",4.4,-37.81052165,144.9664024,Japanese,normal,"QV Centre, Level 2, 31 Artemis Lane, CBD, Melbourne",$25.00
Mr. Ramen San,"Japanese, Ramen",4.5,-37.81220417,144.9671779,Japanese,normal,"Midcity Arcade, Ground Level, Shop 12, 200 Bourke Street, CBD, Melbourne",$27.50
BrimCC,Japanese,4.6,-37.81787204,144.9548002,Japanese,normal,"Shop 2, 601 Little Collins Street, CBD, Melbourne",$20.00
Kaneda Japanese Restaurant,"Japanese, Sushi",4.3,-37.81261684,144.9673482,Japanese,normal,"Midcity Arcade, Ground Level, Shop 6, 200 Bourke Street, CBD, Melbourne",$20.00
Wagaya,"Japanese, Sushi",4.2,-37.81239488,144.9673016,Japanese,normal,"Midcity Arcade, Level 3, 200 Bourke Street, CBD, Melbourne",$27.50
Ishiya Stone Grill,Japanese,4.5,-37.81166064,144.9681529,Japanese,normal,"152 Little Bourke Street, CBD, Melbourne",$75.00
Teppanyaki Inn,"Japanese, Teppanyaki",4.6,-37.81489288,144.9675886,Japanese,normal,"182 Collins Street, CBD, Melbourne",$80.00
Tokyo Japanese Restaurant,Japanese,3.9,-37.81121882,144.9616032,Japanese,normal,"Level 1, 315 Elizabeth Street, CBD, Melbourne",$30.00
Musashi Ramen,"Japanese, Ramen",4.3,-37.81220973,144.9676882,Japanese,normal,"181 Russell Street, CBD, Melbourne",$30.00
Hihou,Japanese,4.3,-37.81444949,144.9741905,Japanese,normal,"Level 1, 1 Flinders Lane, CBD, Melbourne",$42.50
Yamato Japanese,"Japanese, Sushi",4.2,-37.81092533,144.9682246,Japanese,normal,"28 Corrs Lane, CBD, Melbourne",$27.50
Udon Izakaya Maedaya,Japanese,4.2,-37.81270399,144.9683406,Japanese,normal,"Shop 2, 168 Bourke Street, CBD, Melbourne",$32.50
Takumi,"Japanese BBQ, Hot Pot, Japanese",4.3,-37.81158091,144.9721487,Japanese,normal,"32 Bourke Street, CBD, Melbourne",$60.00
Izakaya Chuji,"Japanese, Sushi",4.1,-37.81086918,144.9676681,Japanese,normal,"165 Lonsdale Street, CBD, Melbourne",$35.00
Ramen Ya,"Japanese, Ramen",4.1,-37.81279828,144.9636075,Japanese,normal,"Emporium Melbourne, Lower Ground, 287 Lonsdale Street, CBD, Melbourne",$27.50
Hanabishi Japanese,Japanese,4.5,-37.81581646,144.9553185,Japanese,normal,"187 King Street, CBD, Melbourne",$100.00
Akaiito,Japanese,4,-37.81778967,144.9628223,Japanese,normal,"349-351 Flinders Lane, CBD, Melbourne",$125.00
Hakata Gensuke Chicken Ramen,"Japanese, Ramen",4.3,-37.81096109,144.9661338,Japanese,normal,"QV Centre, 200 Lonsdale Street, CBD, Melbourne",$25.00
Wagyu Ya,"Japanese, Steak, Japanese BBQ",4.7,-37.83907098,144.991419,Japanese,normal,"156 Toorak Road, South Yarra, Melbourne",$75.00
Sake Restaurant & Bar,"Japanese, Sushi",4.2,-37.81981606,144.9679205,Japanese,normal,"Southbank Promenade, Hamer Hall, 100 St Kilda Road, Southbank, Melbourne",$65.00
Ikkoryu Fukuoka Ramen,"Japanese, Ramen",3.9,-37.81601696,144.9694041,Japanese,normal,"27 Russell Street, CBD, Melbourne",$25.00
DonDon,Japanese,4.3,-37.81183917,144.959892,Japanese,normal,"330 Little Lonsdale Street, CBD, Melbourne",$15.00
Akachochin,"Japanese, Sushi",4.4,-37.82430379,144.9516036,Japanese,normal,"DFO South Wharf, 33 Dukes Walk, South Wharf, Melbourne",$60.00
Gyoza Gyoza - Little Bourke,"Japanese, Dumplings",4.2,-37.81147469,144.9690242,Japanese,normal,"115-117 Little Bourke Street, CBD, Melbourne",$25.00
Taketori,Japanese,4,-37.81387764,144.9544605,Japanese,normal,"Shop 1/269 King Street, CBD",$45.00
Unabara Lobster & Oyster Bar,"Japanese, Seafood",4.1,-37.81023267,144.9630553,Japanese,normal,"Melbourne Central, Level 1, Corner of Swanston Street and La Trobe Street, CBD, Melbourne",$35.00
Akita Japanese,"Japanese, Sushi",4.4,-37.80204944,144.9543204,Japanese,normal,"Courtney Street and Blackwood Street, North Melbourne, Melbourne",$30.00
Yami Yami - Lonsdale Street,"Japanese, Korean",4.1,-37.81265181,144.9605773,Japanese,normal,"398 Lonsdale Street, CBD, Melbourne",$40.00
Udon Yasan,Japanese,4,-37.81277233,144.9677619,Japanese,normal,"186 Bourke Street, CBD, Melbourne",$20.00
Momo Sukiyaki & Shabu Shabu,Japanese,3.8,-37.81150092,144.9689807,Japanese,normal,"117 Little Bourke Street, CBD, Melbourne",$40.00
Gyoza Douraku,Japanese,4.1,-37.81263406,144.9689823,Japanese,normal,"147 Bourke Street, CBD, Melbourne",$25.00
Menya Ramen - Elizabeth Street,"Japanese, Ramen",3.8,-37.80874983,144.9604449,Japanese,normal,"437 Elizabeth Street, CBD, Melbourne",$25.00
Mr. Fusion Modern Japanese,Japanese,4,-37.81704409,144.9568856,Japanese,normal,"Shop 2-3, 540 Little Collins Street, CBD, Melbourne",$20.00
Mochi Moments,Japanese,4.1,-37.81278027,144.9638798,Japanese,normal,"Emporium Melbourne, Lower Ground, 287 Lonsdale Street, CBD, Melbourne",$10.00
Sakura Kaiten Sushi II,"Japanese, Sushi",4.1,-37.81169454,144.9639572,Japanese,normal,"282 Lonsdale Street, CBD, Melbourne",$35.00
Coppe Pan Japanese Bakery,"Bakery, Japanese",4.1,-37.81006738,144.9625025,Japanese,normal,"Melbourne Central, Lower Ground, Corner of Swanston Street and La Trobe Street, CBD, Melbourne",$15.00
Robot Bar,Japanese,4.2,-37.81708965,144.9637031,Japanese,normal,"12 Bligh Place, CBD, Melbourne",$35.00
Cafe Lafayette,"Cafe Food, Coffee and Tea, Japanese",4,-37.81286477,144.9613729,Japanese,normal,"30 Niagara Lane, CBD, Melbourne",$25.00
Namoo,"Japanese, Korean",4.1,-37.81485739,144.9604848,Japanese,normal,"Shop 1/167 Queen Street, CBD, Melbourne",$40.00
