name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Calia,"Japanese, Australian, Asian",4.5,-37.8127461,144.9639669,Asian,normal,"Emporium Melbourne, Ground Floor, 287 Lonsdale Street, CBD, Melbourne",$50.00 ,Calia
Supernormal,"Asian, Fusion",4.5,-37.81604795,144.9683725,Asian,normal,"180 Flinders Lane, CBD, Melbourne",$70.00 ,Supernormal
CJ Lunch Bar,"Korean, Asian, Hot Pot",4.5,-37.81184235,144.9603728,Asian,normal,"Shop 2/391 Little Lonsdale Street, CBD, Melbourne",$20.00 ,CJ Lunch Bar
Don Don,"Japanese, Asian",4.6,-37.81076031,144.9635955,Asian,normal,"198 Little Lonsdale Street, CBD, Melbourne",$15.00 ,Don Don
Darac Grill & Bar,"Korean, Asian",4.4,-37.80897631,144.9620451,Asian,normal,"51 A'Beckett Street, CBD, Melbourne",$30.00 ,Darac Grill & Bar
Coda,"Asian, Fusion",4.6,-37.81582176,144.969964,Asian,normal,"Entrance at Oliver Lane, Basement, 141 Flinders Lane, CBD, Melbourne",$72.50 ,Coda
Scoopy Milk Bar,"Korean, Desserts, Asian",4.7,-37.81140689,144.9598635,Asian,normal,"33 Guildford Lane, CBD, Melbourne",$15.00 ,Scoopy Milk Bar
Melbourne Hwaro Korean BBQ Restaurant,"Korean BBQ, Korean, Asian",4.4,-37.81522396,144.955748,Asian,normal,"562 Little Bourke Street, CBD, Melbourne",$42.50 ,Melbourne Hwaro Korean BBQ Restaurant
OK Chicken (Warra Warra Kitchen),"Fried Chicken, Korean, Asian",4.5,-37.81410039,144.9665167,Asian,normal,"Rainbow Alley, CBD, Melbourne",$35.00 ,OK Chicken (Warra Warra Kitchen)
Gingerboy,Asian,4.4,-37.81126279,144.9710057,Asian,normal,"27-29 Crossley Street, CBD, Melbourne",$65.00 ,Gingerboy
Hochi Mama,"Fusion, Vietnamese, Asian",4.3,-37.81138967,144.9714369,Asian,normal,"11 Liverpool Street, CBD, Melbourne",$37.50 ,Hochi Mama
Gami,"Korean, Asian, Fried Chicken",4.4,-37.80923034,144.9687701,Asian,normal,"100 Little Lonsdale Street, CBD, Melbourne",$30.00 ,Gami
Lucy Liu Kitchen and Bar,Asian,4.4,-37.81600134,144.9700495,Asian,normal,"23 Oliver Lane, CBDMelbourne 3000",$75.00 ,Lucy Liu Kitchen and Bar
Laksa Bar,"Asian, Malaysian",4.1,-37.80928888,144.9685679,Asian,normal,"108 Little Lonsdale Street, CBD, Melbourne",$30.00 ,Laksa Bar
Magic Mountain Saloon,"Asian, Fusion",4.4,-37.81288887,144.9715113,Asian,normal,"62 Little Collins Street, CBD, Melbourne",$50.00 ,Magic Mountain Saloon
