name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Rose Garden BBQ,"Chinese, BBQ",4.5,-37.80881102,144.9604657,BBQ,normal,"435 Elizabeth Street, CBD, Melbourne",$20.00 ,Rose Garden BBQ
The Meat & Wine Co,"BBQ, Steak, Modern Australian",4.4,-37.82150869,144.9620166,BBQ,normal,"3 Freshwater Place, Southbank, Melbourne",$80.00 ,The Meat & Wine Co
Meatmaiden,"BBQ, Steak",4.4,-37.81412158,144.9677804,BBQ,normal,"195 Little Collins Street, CBD, Melbourne",$60.00 ,Meatmaiden
Mjolner,"Modern Australian, BBQ",4.4,-37.81205716,144.9605672,BBQ,normal,"Ground Floor, 106 Hardware Street, CBD",$70.00 ,Mjolner
B'Churrasco,"BBQ, Brazilian, Steak",4.4,-37.80907803,144.9616311,BBQ,normal,"61 A'Beckett Street, CBD, Melbourne",$60.00 ,B'Churrasco
Squires Loft City Grill Room,"BBQ, South African",4.4,-37.81329466,144.9561624,BBQ,normal,"535 Little Lonsdale Street, CBD, Melbourne",$70.00 ,Squires Loft City Grill Room
Third Wave Cafe,"American, BBQ, Cafe Food",4.4,-37.84171079,144.9385899,BBQ,normal,"189 Rouse Street, Port Melbourne, Melbourne",$60.00 ,Third Wave Cafe
Fancy Hank's,"American, BBQ",3.9,-37.81205478,144.9711137,BBQ,normal,"Level 1, 79 Bourke Street, CBD, Melbourne",$45.00 ,Fancy Hank's
San Antone by Bludso's BBQ,"American, BBQ",3.8,-37.82414197,144.9576782,BBQ,normal,"Crown Melbourne, Level 1, 8 Whiteman Street, Southbank, Melbourne",$40.00 ,San Antone by Bludso's BBQ
Pacific BBQ House,"BBQ, Chinese, Seafood",3.5,-37.81134702,144.9659578,BBQ,normal,"213 Lonsdale Street, CBD, Melbourne",$32.50 ,Pacific BBQ House
Asado,"Argentine, BBQ, Spanish",4.2,-37.82089769,144.9641986,BBQ,normal,"6 Riverside Quay, Southbank, Melbourne",$65.00 ,Asado
Ludlow Bar & Dining Room,"BBQ, European",3.7,-37.82063046,144.9639656,BBQ,normal,"6 Riverside Quay, Southbank, Melbourne",$55.00 ,Ludlow Bar & Dining Room
Pacific Seafood BBQ House,"BBQ, Chinese, Seafood",4.3,-37.83940487,144.9940358,BBQ,normal,"210 Toorak Road, South Yarra, Melbourne",$30.00 ,Pacific Seafood BBQ House
The Grand BBQ,"Chinese, BBQ",4.1,-37.81296356,144.9662549,BBQ,normal,"Target Centre, 222 Bourke Street, CBD, Melbourne",$20.00 ,The Grand BBQ
Chef David,"Chinese, Hot Pot, Asian, BBQ, Cabinet Food",4.1,-37.80785,144.960397,BBQ,normal,"Level 1, 462 Elizabeth Street, CBD, Melbourne",$60.00 ,Chef David
Hell's Kitchen,"BBQ, American",4,-37.81655675,144.9655391,BBQ,normal,"20 Centre Place, CBD, Melbourne",$25.00 ,Hell's Kitchen
Ten BBQ & Hotpot Buffet,"Hot Pot, BBQ, Asian",3.7,-37.82347989,144.9632149,BBQ,normal,"143 City Road, Southbank, Melbourne",$50.00 ,Ten BBQ & Hotpot Buffet
