name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Manchester Press,"Coffee and Tea, Cafe Food",4.4,-37.81390995,144.9621769,Brunch,normal,"8 Rankins Lane, CBD, Melbourne",$20.00 ,Manchester Press
The Hardware Societe,"French, Cafe Food, Coffee and Tea",4.6,-37.81203173,144.9604677,Brunch,normal,"123 Hardware Street, CBD, Melbourne",$30.00 ,The Hardware Societe
Brick Lane,"Cafe Food, Coffee and Tea",4.5,-37.81140132,144.9598075,Brunch,normal,"33 Guildford Lane, CBD, Melbourne",$25.00 ,Brick Lane
White Mojo Speciality Coffee & Roaster,"Cafe Food, Fusion, Coffee and Tea",4.2,-37.81216629,144.9605267,Brunch,normal,"115 Hardware Street, CBD, Melbourne",$27.50 ,White Mojo Speciality Coffee & Roaster
Hash Specialty Coffee,"Coffee and Tea, Cafe Food",4.2,-37.81232495,144.9605967,Brunch,normal,"113 Hardware Street, CBD, Melbourne",$25.00 ,Hash Specialty Coffee
Humble Rays,"Coffee and Tea, Cafe Food, Asian Fusion",4.8,-37.80481772,144.9615536,Brunch,normal,"71 Bouverie Street, Carlton, Melbourne",$25.00 ,Humble Rays
Operator25,"Coffee and Tea, Cafe Food",4.3,-37.81061039,144.9571015,Brunch,normal,"25 Wills Street, CBD",$27.50 ,Operator25
Higher Ground,"Cafe Food, Coffee and Tea",4.2,-37.81597088,144.953048,Brunch,normal,"650 Little Bourke Street, CBD, Melbourne",$30.00 ,Higher Ground
The Grain Store,"European, Coffee and Tea, Cafe Food",4.5,-37.81971462,144.9566187,Brunch,normal,"517 Flinders Lane, CBD, Melbourne",$35.00 ,The Grain Store
Bowery to Williamsburg,"American, Coffee and Tea, Cafe Food",4.4,-37.81626646,144.9702634,Brunch,normal,"16 Oliver Lane, CBD, Melbourne",$25.00 ,Bowery to Williamsburg
Captains of Industry,"Sandwich, Coffee and Tea, Cafe Food",4.4,-37.81363104,144.9625474,Brunch,normal,"Level 1, 2 Somerset Place, CBD, Melbourne",$22.50 ,Captains of Industry
Seven Seeds,"Coffee and Tea, Cafe Food",4.4,-37.80294007,144.9590374,Brunch,normal,"114 Berkeley Street, Carlton, Melbourne",$25.00 ,Seven Seeds
Roule Galette,"Coffee and Tea, Crepes, Cafe Food",4.5,-37.81680307,144.9662921,Brunch,normal,"241 Flinders Lane, CBD, Melbourne",$20.00 ,Roule Galette
Drumplings,"Chinese, Asian Fusion, Dumplings",3.8,-37.81324168,144.9669097,Brunch,normal,"227 Bourke Street, CBD, Melbourne",$40.00 ,Drumplings
Kinfolk,"Cafe Food, Coffee and Tea",4.5,-37.81692544,144.9539948,Brunch,normal,"673 Bourke Street, CBD, Melbourne",$25.00 ,Kinfolk
No35,"Contemporary, European, French",4.4,-37.81417774,144.9728672,Brunch,normal,"Sofitel Melbourne On Collins, Level 35, 25 Collins Street, CBD, Melbourne",$100.00 ,No35
The League of Honest Coffee,"Coffee and Tea, Cafe Food",4.5,-37.80930345,144.9684888,Brunch,normal,"8 Exploration Lane, CBD, Melbourne",$15.00 ,The League of Honest Coffee
Krimper,"Coffee and Tea, Cafe Food",4.2,-37.81123922,144.960186,Brunch,normal,"20-24 Guildford Lane, CBD, Melbourne",$27.50 ,Krimper
Beatrix,"Coffee and Tea, Bakery",4.9,-37.80236733,144.9444753,Brunch,normal,"688 Queensberry Street, North Melbourne, Melbourne",$15.00 ,Beatrix
Vertue Coffee Roasters,"Coffee and Tea, Cafe Food",4.6,-37.79768884,144.9683121,Brunch,normal,"8 Raffa Place, Carlton, Melbourne",$25.00 ,Vertue Coffee Roasters
Auction Rooms,"Coffee and Tea, Cafe Food",4.4,-37.8025223,144.9495608,Brunch,normal,"103-107 Errol Street, North Melbourne, Melbourne",$25.00 ,Auction Rooms
Jungle Juice,"Coffee and Tea, Cafe Food",4.5,-37.81655198,144.9655347,Brunch,normal,"20 Centre Place, CBD, Melbourne",$25.00 ,Jungle Juice
