name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Sushi Monger,"Japanese, Sushi",4.6,-37.81486109,144.9645386,Fast food,normal,"17/309-325, Little Collins Street, CBD, Melbourne",$15.00 ,Sushi Monger
Simpsons Burgers,"Burger, Fast Food",4.3,-37.81318818,144.9681277,Fast food,normal,"143 Russell Street, CBD, Melbourne",$15.00 ,Simpsons Burgers
Hot Star Large Fried Chicken,"Fast Food, Taiwanese, Fried Chicken",4.2,-37.81246878,144.9650626,Fast food,normal,"233 Swanston Street, CBD, Melbourne",$15.00 ,Hot Star Large Fried Chicken
Bratwurst Shop & Co,"Fast Food, German, Eastern European",4.3,-37.80709876,144.9593147,Fast food,normal,"Queen Victoria Market, Dairy Produce Hall, Shop 99-100, Queen Street, CBD, Melbourne",$12.50 ,Bratwurst Shop & Co
Chunky Town,"Korean, Fast Food",3.7,-37.81759977,144.9649221,Fast food,normal,"Shop 1B, 26 Elizabeth Street, CBD, Melbourne",$12.50 ,Chunky Town
Nene Chicken,"Korean, Fried Chicken",3.5,-37.81018976,144.9637222,Fast food,normal,"Melbourne Central, Level 1, Corner of Swanston Street and La Trobe Street, CBD, Melbourne",$17.50 ,Nene Chicken
Nosh,"Pok??, Healthy Food, Fusion",3.7,-37.81539427,144.9629356,Fast food,normal,"Galleria, 385 Bourke Street, CBD, Melbourne",$20.00 ,Nosh
Rice Workshop,Japanese,4.1,-37.81251116,144.963462,Fast food,normal,"238 Little Bourke Street, CBD, Melbourne",$20.00 ,Rice Workshop
Rocket Burger & Fries,Burger,4.2,-37.81800261,144.9650811,Fast food,normal,"Corner of Flinders Street and Elizabeth Street, CBD, Melbourne",$20.00 ,Rocket Burger & Fries
Schnitz,"Sandwich, Fast Food",4,-37.81370944,144.9627553,Fast food,normal,"203-207 Elizabeth Street, CBD, Melbourne",$22.50 ,Schnitz
City Kebabs,"Kebab, Fast Food",3.9,-37.82061007,144.9562408,Fast food,normal,"Shop 3, 546 Flinders Street, CBD, Melbourne",$15.00 ,City Kebabs
