name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Portello Rosso,"Spanish, Tapas",4.5,-37.81378493,144.9619365,Spanish,normal,"15 Warburton Lane, CBD, Melbourne",$70.00 ,Portello Rosso
MoVida Bar De Tapas,"Spanish, Tapas",4.7,-37.81670269,144.9691895,Spanish,normal,"1 Hosier Lane, CBD, Melbourne",$60.00 ,MoVida Bar De Tapas
Bomba Downstairs,"Mediterranean, Spanish, Tapas",4.5,-37.81039822,144.9692036,Spanish,normal,"103 Lonsdale Street, CBD, Melbourne",$60.00 ,Bomba Downstairs
Bar Lourinha,"Spanish, Tapas",4.6,-37.81270399,144.9724739,Spanish,normal,"37 Little Collins Street, CBD, Melbourne",$60.00 ,Bar Lourinha
MoVida Next Door,"Spanish, Tapas",4.6,-37.81680016,144.9692291,Spanish,normal,"164 Flinders Street, CBD, Melbourne",$45.00 ,MoVida Next Door
Simply Spanish,"Spanish, Tapas",4,-37.81651305,144.9581663,Spanish,normal,"St James Place, Shop 10, 555 Bourke Street, CBD, Melbourne",$32.50 ,Simply Spanish
Teatro,"Spanish, Tapas, Mediterranean",3.9,-37.81981976,144.9676137,Spanish,normal,"Southbank Promenade, Hamer Hall, 100 St Kilda Road, Southbank, Melbourne",$45.00 ,Teatro
El Rincon,"Spanish, Bar Food, Cafe Food",3.9,-37.80631865,144.9590883,Spanish,normal,"Queen Victoria Market, 69 Elizabeth Street, CBD, Melbourne",$35.00 ,El Rincon
Bar Nacional,"Spanish, Coffee and Tea, Cafe Food",3.9,-37.82072713,144.9502729,Spanish,normal,"Collins Square, Tower 1, 727 Collins Street, Docklands, Melbourne",$50.00 ,Bar Nacional
Henry Sugar,"Spanish, Modern European",4,-37.79161352,144.9716897,Spanish,normal,"298 Rathdowne Street, Carlton North, Melbourne",$60.00 ,Henry Sugar
Bar Tini,"Spanish, Tapas",3.4,-37.81647279,144.9690883,Spanish,normal,"3-5 Hosier Lane, CBD, Melbourne",$40.00 ,Bar Tini
Cinema Nova Bar,"Spanish, Tapas",3.7,-37.79785734,144.967779,Spanish,normal,"380 Lygon Street, Carlton, Melbourne",$40.00 ,Cinema Nova Bar
Bakemono Bakers,"Coffee and Tea, Bakery",3.9,-37.810921,144.963922,Spanish,normal,"Corner of Drewery Lane and Drewery Alley, CBD, Melbourne",$0.00 ,Bakemono Bakers
Churros Spanish Donuts,Desserts,4,-37.80694724,144.9563414,Spanish,normal,"Queen Victoria Market, E Shed, Queen Street, CBD, Melbourne",$5.00 ,Churros Spanish Donuts
Botica,"Coffee and Tea, Cafe Food",3.6,-37.81272889,144.964086,Spanish,normal,"Emporium Melbourne, Lower Ground, 287 Lonsdale Street, CBD, Melbourne",$20.00 ,Botica
Spanish Doughnuts,"Desserts, Fast Food",3.2,-37.81908851,144.9527707,Spanish,normal,"Southern Cross Station, Level 1, 99 Spencer Street, Docklands, Melbourne",$10.00 ,Spanish Doughnuts
Aperitivo Bar Ristorante,"Italian, Bar Food",3.4,-37.79907679,144.9670625,Spanish,normal,"275 Lygon Street, Carlton, VIC",$40.00 ,Aperitivo Bar Ristorante
