name,cuisine,overall_rating,latitude,longitude,feature,type
Calia,"Japanese, Australian, Asian",4.5,-37.8127461,144.9639669,Asian,normal
Supernormal,"Asian, Fusion",4.5,-37.81604795,144.9683725,Asian,normal
CJ Lunch Bar,"Korean, Asian, Hot Pot",4.5,-37.81184235,144.9603728,Asian,normal
Don Don,"Japanese, Asian",4.6,-37.81076031,144.9635955,Asian,normal
Darac Grill & Bar,"Korean, Asian",4.4,-37.80897631,144.9620451,Asian,normal
Coda,"Asian, Fusion",4.6,-37.81582176,144.969964,Asian,normal
Scoopy Milk Bar,"Korean, Desserts, Asian",4.7,-37.81140689,144.9598635,Asian,normal
Melbourne Hwaro Korean BBQ Restaurant,"Korean BBQ, Korean, Asian",4.4,-37.81522396,144.955748,Asian,normal
OK Chicken (Warra Warra Kitchen),"Fried Chicken, Korean, Asian",4.5,-37.81410039,144.9665167,Asian,normal
Gingerboy,Asian,4.4,-37.81126279,144.9710057,Asian,normal
Hochi Mama,"Fusion, Vietnamese, Asian",4.3,-37.81138967,144.9714369,Asian,normal
Gami,"Korean, Asian, Fried Chicken",4.4,-37.80923034,144.9687701,Asian,normal
Lucy Liu Kitchen and Bar,Asian,4.4,-37.81600134,144.9700495,Asian,normal
Laksa Bar,"Asian, Malaysian",4.1,-37.80928888,144.9685679,Asian,normal
Magic Mountain Saloon,"Asian, Fusion",4.4,-37.81288887,144.9715113,Asian,normal
Mr. Nice Guy,"Thai, Asian, Fusion",4.3,-37.81342895,144.9558191,Asian,normal
Sichuan House,"Asian, Chinese, Sichuan",4.5,-37.81099049,144.9682665,Asian,normal
Mahn Doo,"Korean, Asian",4.2,-37.81124663,144.9585298,Asian,normal
Lee Ho Fook,"Asian, Chinese",4.2,-37.8155757,144.9713551,Asian,normal
Oppa Kitchen,"Korean, Asian, Fried Chicken",4,-37.81185003,144.9647843,Asian,normal
Mapo Grill & Bar,"Korean, Korean BBQ, Asian",4.3,-37.81330366,144.9556729,Asian,normal
Sunda,"Vietnamese, Indonesian, Malaysian, Asian",4.3,-37.81050232,144.9710366,Asian,normal
Seamstress Dining Room,Asian,4.4,-37.81047901,144.9690383,Asian,normal
@t Ease - Easy Thai,"Asian, Thai",4.1,-37.81114333,144.966615,Asian,normal
CHEEK,"American, Asian, BBQ",4.3,-37.81106916,144.9643743,Asian,normal
Pepper Lunch,"Asian, Japanese",4,-37.81143788,144.9617434,Asian,normal
Hawker Boys,"Asian, Vietnamese",4,-37.81295456,144.9608613,Asian,normal
@Siam Thai Restaurant,"Thai, Asian",4,-37.81277233,144.9686357,Asian,normal
Dosirock,"Asian, Korean",4.2,-37.81343848,144.9547063,Asian,normal
Woodo,"Korean BBQ, Korean, Asian",4.3,-37.81598094,144.9554124,Asian,normal
Juicy Bao,"Asian, Chinese",4.1,-37.81199068,144.9670223,Asian,normal
TuanTuan Chinese Brasserie,"Chinese, Asian",4,-37.80477004,144.9637664,Asian,normal
Chimac,"Korean, Asian, Korean BBQ, Fried Chicken",4.4,-37.80721744,144.9555257,Asian,normal
Hui Lau Shan,"Asian, Desserts",4,-37.80900837,144.9606185,Asian,normal
Shark Fin Inn,"Chinese, Asian, Yum Cha",4.2,-37.81080216,144.9710564,Asian,normal
Shinbashi Yakiniku,"Japanese, Asian, Japanese BBQ",4.1,-37.80004773,144.9672329,Asian,normal
Han Guuk Guan,"Korean, Chinese, Asian",3.8,-37.80753213,144.9680245,Asian,normal
Shanghai Dumpling House,"Chinese, Asian, Yum Cha",2.2,-37.81186036,144.9655528,Asian,normal
