name,cuisine,overall_rating,latitude,longitude,feature,type
Rose Garden BBQ,"Chinese, BBQ",4.5,-37.80881102,144.9604657,BBQ,normal
The Meat & Wine Co,"BBQ, Steak, Modern Australian",4.4,-37.82150869,144.9620166,BBQ,normal
Meatmaiden,"BBQ, Steak",4.4,-37.81412158,144.9677804,BBQ,normal
Mjolner,"Modern Australian, BBQ",4.4,-37.81205716,144.9605672,BBQ,normal
B'Churrasco,"BBQ, Brazilian, Steak",4.4,-37.80907803,144.9616311,BBQ,normal
Squires Loft City Grill Room,"BBQ, South African",4.4,-37.81329466,144.9561624,BBQ,normal
Third Wave Cafe,"American, BBQ, Cafe Food",4.4,-37.84171079,144.9385899,BBQ,normal
Fancy Hank's,"American, BBQ",3.9,-37.81205478,144.9711137,BBQ,normal
San Antone by Bludso's BBQ,"American, BBQ",3.8,-37.82414197,144.9576782,BBQ,normal
Pacific BBQ House,"BBQ, Chinese, Seafood",3.5,-37.81134702,144.9659578,BBQ,normal
Asado,"Argentine, BBQ, Spanish",4.2,-37.82089769,144.9641986,BBQ,normal
Ludlow Bar & Dining Room,"BBQ, European",3.7,-37.82063046,144.9639656,BBQ,normal
Pacific Seafood BBQ House,"BBQ, Chinese, Seafood",4.3,-37.83940487,144.9940358,BBQ,normal
The Grand BBQ,"Chinese, BBQ",4.1,-37.81296356,144.9662549,BBQ,normal
Chef David,"Chinese, Hot Pot, Asian, BBQ, Cabinet Food",4.1,-37.80785,144.960397,BBQ,normal
Hell's Kitchen,"BBQ, American",4,-37.81655675,144.9655391,BBQ,normal
Ten BBQ & Hotpot Buffet,"Hot Pot, BBQ, Asian",3.7,-37.82347989,144.9632149,BBQ,normal
Mansae Korean BBQ & Bar,"Korean, Korean BBQ",4.5,-37.80956304,144.9596073,BBQ,normal
Pick-A-Stick by Dainty Sichuan,"Asian, BBQ, Chinese",3.8,-37.81071449,144.9624029,BBQ,normal
Minh Xuong Seafood & BBQ,"Chinese, BBQ",3.2,-37.81165322,144.9674293,BBQ,normal
Wagyu One,"Japanese, Japanese BBQ",4.3,-37.81230456,144.9697002,BBQ,normal
New Kum Den BBQ,"Chinese, BBQ, Cantonese",3.5,-37.81168395,144.9671229,BBQ,normal
Parrot Seafood BBQ House,"BBQ, Chinese, Seafood",3.9,-37.78849578,144.9313412,BBQ,normal
Rice Paper Scissors,"Asian Fusion, Tapas",4.8,-37.814313,144.961402,BBQ,normal
G2 Korean BBQ,"Korean BBQ, Korean",4,-37.81158462,144.9618232,BBQ,normal
Nana Thai Style Hotpot & BBQ,"Thai, BBQ, Hot Pot",3.5,-37.81271087,144.9685803,BBQ,normal
Paik's BBQ ,"Korean BBQ, Korean",4.2,-37.81295668,144.9562734,BBQ,normal
Melbourne Dae Jang Geum Korean BBQ,"Korean BBQ, Korean",4,-37.81241686,144.9657925,BBQ,normal
Chin Chin,"Thai, Asian Fusion",4.6,-37.81556458,144.9703757,BBQ,normal
Tao's Asian BBQ Kitchen CBD,"Asian, BBQ",3.8,-37.81305389,144.9556689,BBQ,normal
Khabbay Restaurant,"Indian, Pakistani, BBQ",4,-37.79008209,144.9716575,BBQ,normal
No. 1 Delicious Hot Pot & BBQ,"Chinese, Hot Pot, BBQ",3.7,-37.80565666,144.9629393,BBQ,normal
ChangGo,"Korean BBQ, Korean",4.5,-37.80954264,144.961783,BBQ,normal
Tetsujin,"Sushi, Japanese, Japanese BBQ",4.2,-37.81224946,144.9643441,BBQ,normal
Maha Restaurant,Middle Eastern,4.7,-37.81816682,144.9626845,BBQ,normal
Smokestak,"American, BBQ, Sandwich",2.9,-37.81596373,144.9608864,BBQ,normal
Panda BBQ Restaurant Bar,"Chinese, BBQ",3.6,-37.81288543,144.9671135,BBQ,normal
Asian BBQ House,"Asian, BBQ, Chinese",3.2,-37.80895062,144.9689636,BBQ,normal
Famous Hotpot & BBQ,"Chinese, Hot Pot",3.8,-37.8114641,144.9690729,BBQ,normal
Hawker Chan,Chinese,3.5,-37.81079395,144.9678384,BBQ,normal
Meat the Challenge,"American, BBQ",3.1,-37.8151355,144.9647257,BBQ,normal
Zen Charcoal BBQ,"Korean, Korean BBQ, Japanese BBQ, Hot Pot",4.3,-37.83987856,144.9977286,BBQ,normal
BBQ Brothers 10,"Korean, Korean BBQ",4.1,-37.80454222,144.9583829,BBQ,normal
Saint Dreux,"Japanese, Sandwich, Coffee and Tea",4.1,-37.81517708,144.9647713,BBQ,normal
OhGam Korean BBQ Buffet,"Korean BBQ, Korean",3.5,-37.81065542,144.9682347,BBQ,normal
Hallah,"Korean BBQ, Korean",4.1,-37.80593295,144.9575172,BBQ,normal
Queen Street Rescue,"Modern Australian, Cafe Food",4.2,-37.81425057,144.9602028,BBQ,normal
SamSam,Korean,4,-37.81288543,144.9652101,BBQ,normal
B'cos,"Brazilian, Salad",4.2,-37.8155463,144.9630148,BBQ,normal
Soolzip Korean BBQ,"Korean BBQ, Korean",4.1,-37.80596501,144.9555783,BBQ,normal
Seorae Galmaegi,"Korean, Korean BBQ",3.9,-37.81058019,144.9661995,BBQ,normal
