name,cuisine,overall_rating,latitude,longitude,feature,type
Manchester Press,"Coffee and Tea, Cafe Food",4.4,-37.81390995,144.9621769,Brunch,normal
The Hardware Societe,"French, Cafe Food, Coffee and Tea",4.6,-37.81203173,144.9604677,Brunch,normal
Brick Lane,"Cafe Food, Coffee and Tea",4.5,-37.81140132,144.9598075,Brunch,normal
White Mojo Speciality Coffee & Roaster,"Cafe Food, Fusion, Coffee and Tea",4.2,-37.81216629,144.9605267,Brunch,normal
Hash Specialty Coffee,"Coffee and Tea, Cafe Food",4.2,-37.81232495,144.9605967,Brunch,normal
Humble Rays,"Coffee and Tea, Cafe Food, Asian Fusion",4.8,-37.80481772,144.9615536,Brunch,normal
Operator25,"Coffee and Tea, Cafe Food",4.3,-37.81061039,144.9571015,Brunch,normal
Higher Ground,"Cafe Food, Coffee and Tea",4.2,-37.81597088,144.953048,Brunch,normal
The Grain Store,"European, Coffee and Tea, Cafe Food",4.5,-37.81971462,144.9566187,Brunch,normal
Bowery to Williamsburg,"American, Coffee and Tea, Cafe Food",4.4,-37.81626646,144.9702634,Brunch,normal
Captains of Industry,"Sandwich, Coffee and Tea, Cafe Food",4.4,-37.81363104,144.9625474,Brunch,normal
Seven Seeds,"Coffee and Tea, Cafe Food",4.4,-37.80294007,144.9590374,Brunch,normal
Roule Galette,"Coffee and Tea, Crepes, Cafe Food",4.5,-37.81680307,144.9662921,Brunch,normal
Drumplings,"Chinese, Asian Fusion, Dumplings",3.8,-37.81324168,144.9669097,Brunch,normal
Kinfolk,"Cafe Food, Coffee and Tea",4.5,-37.81692544,144.9539948,Brunch,normal
No35,"Contemporary, European, French",4.4,-37.81417774,144.9728672,Brunch,normal
The League of Honest Coffee,"Coffee and Tea, Cafe Food",4.5,-37.80930345,144.9684888,Brunch,normal
Krimper,"Coffee and Tea, Cafe Food",4.2,-37.81123922,144.960186,Brunch,normal
Beatrix,"Coffee and Tea, Bakery",4.9,-37.80236733,144.9444753,Brunch,normal
Vertue Coffee Roasters,"Coffee and Tea, Cafe Food",4.6,-37.79768884,144.9683121,Brunch,normal
Auction Rooms,"Coffee and Tea, Cafe Food",4.4,-37.8025223,144.9495608,Brunch,normal
Jungle Juice,"Coffee and Tea, Cafe Food",4.5,-37.81655198,144.9655347,Brunch,normal
Roasting Warehouse,"Coffee and Tea, Cafe Food, Modern Australian",4.5,-37.80448818,144.9507266,Brunch,normal
Flovie Florist Cafe,"Modern Australian, Asian Fusion, Cafe Food",4.2,-37.80434301,144.9599306,Brunch,normal
Billy's Central,"Coffee and Tea, Cafe Food",4.1,-37.81174249,144.96352,Brunch,normal
Cartel Coffee Roasters,"Sandwich, Coffee and Tea, Cafe Food",4.2,-37.81385565,144.9625306,Brunch,normal
Tiamo,"Italian, Cafe Food",4.4,-37.79822082,144.9672205,Brunch,normal
Fandango,"Coffee and Tea, Cafe Food",4.6,-37.80263939,144.949531,Brunch,normal
Twenty & Six,"Coffee and Tea, Cafe Food",4.5,-37.80272046,144.9475512,Brunch,normal
Ten Square Cafe,"Cafe Food, Coffee and Tea, Australian",4.1,-37.8120275,144.9605294,Brunch,normal
Area Four,"Coffee and Tea, Cafe Food",4.2,-37.81371315,144.961101,Brunch,normal
Rustica,"Cafe Food, Desserts, Coffee and Tea",4.1,-37.81137669,144.963567,Brunch,normal
Brunetti,"Desserts, Coffee and Tea, Cafe Food",4.4,-37.79826109,144.96772,Brunch,normal
Cafe Blush,"Cafe Food, Coffee and Tea",3.7,-37.81269869,144.9639633,Brunch,normal
Henry and the Fox,"Modern Australian, Coffee and Tea",4.1,-37.81713812,144.9572946,Brunch,normal
Two Birds One Stone,"Coffee and Tea, Modern Australian, Cafe Food",4.4,-37.83802271,144.9939158,Brunch,normal
Mr Tulk,"Modern Australian, Coffee and Tea, Cafe Food",4.1,-37.80951509,144.9646871,Brunch,normal
Switchboard,"Sandwich, Coffee and Tea, Cafe Food",4.3,-37.81527826,144.9662361,Brunch,normal
Sensory Lab - Little Collins,"Desserts, Coffee and Tea, Sandwich",3.7,-37.81472919,144.9651314,Brunch,normal
Naughty Boy,"Coffee and Tea, Cafe Food",4.1,-37.78444229,144.9695547,Brunch,normal
The Bond Store,"Coffee and Tea, Cafe Food",4.3,-37.82172904,144.9639824,Brunch,normal
Le Miel Et La Lune,"Coffee and Tea, Cafe Food",4.3,-37.79693141,144.9663722,Brunch,normal
Left Bank Melbourne,"Modern Australian, European, Pizza",3.8,-37.82094351,144.962769,Brunch,normal
The Quarter,"Continental, Coffee and Tea, Cafe Food",4.2,-37.81705893,144.965646,Brunch,normal
Entrecote,"French, Steak",4.2,-37.83401245,144.9805893,Brunch,normal
Corner & Bench,"Coffee and Tea, Cafe Food",4.2,-37.81461901,144.9616311,Brunch,normal
DOC Espresso,"Coffee and Tea, Cafe Food, Italian",4.2,-37.7993033,144.9673465,Brunch,normal
Journal Canteen,"Italian, Coffee and Tea, Cafe Food",4.2,-37.8169853,144.9658515,Brunch,normal
Hunters' Roots,"Vegetarian, Cafe Food",4.2,-37.81978004,144.9564192,Brunch,normal
Vincent the Dog,"Coffee and Tea, Cafe Food",4.3,-37.79775772,144.9691332,Brunch,normal
Abacus.,"Modern Australian, Cafe Food",4.1,-37.84575637,144.9942253,Brunch,normal
Ima Project Cafe,"Japanese, Coffee and Tea",4.1,-37.79748591,144.9691657,Brunch,normal
