name,cuisine,overall_rating,latitude,longitude,feature,type
Shanghai Street Dumpling & Mini Juicy Bun,"Chinese, Dumplings",4.5,-37.81330393,144.962422,Chinese,normal
Wonderbao,"Chinese, Taiwanese",4.7,-37.80897737,144.9627717,Chinese,normal
HuTong Dumpling Bar,Chinese,4.3,-37.81194353,144.9693951,Chinese,normal
Shandong Mama,"Chinese, Dumplings",4.3,-37.81258215,144.9673267,Chinese,normal
Flower Drum,Chinese,4.6,-37.81192737,144.9692998,Chinese,normal
Tim Ho Wan,"Chinese, Yum Cha",3.4,-37.81294449,144.9671165,Chinese,normal
New Shanghai - Emporium,Chinese,4.2,-37.8123035,144.9633805,Chinese,normal
Secret Kitchen,"Chinese, Yum Cha",4.2,-37.81097805,144.9702772,Chinese,normal
Korchi City,"Korean, Chinese",4.2,-37.81420449,144.9596094,Chinese,normal
Supper Inn,Chinese,4.2,-37.81190645,144.9662237,Chinese,normal
Oriental Teahouse,"Chinese, Yum Cha",4.1,-37.8156398,144.9621045,Chinese,normal
Spice Temple,"Chinese, Fusion, Yum Cha",4.4,-37.822005,144.9600586,Chinese,normal
China Red,Chinese,4.2,-37.81259777,144.9668882,Chinese,normal
Crystal Jade,"Chinese, Seafood",4.3,-37.81169454,144.9680452,Chinese,normal
Shanghai Village Dumpling,"Chinese, Dumplings",3.8,-37.81136689,144.9691574,Chinese,normal
Sarawak Kitchen,"Chinese, Malaysian",4.2,-37.80797185,144.96013,Chinese,normal
Lanzhou Beef Noodle Bar,"Chinese, Fast Food",4.4,-37.80981547,144.9610011,Chinese,normal
Dumplings Plus,"Dumplings, Chinese",4.1,-37.81191995,144.9647951,Chinese,normal
Laksa King,"Malaysian, Chinese",4.6,-37.78779575,144.9294969,Chinese,normal
Noodle Express by Dainty Sichuan,"Chinese, Sichuan",4.1,-37.81276411,144.9637923,Chinese,normal
Dainty Sichuan Food - Mini Hot Pot,"Sichuan, Chinese, Hot Pot",4,-37.81075766,144.9679487,Chinese,normal
House of Delight,"Chinese, Yum Cha, Hot Pot",3.5,-37.81268386,144.9670139,Chinese,normal
Ling Nan,Chinese,4.1,-37.81211384,144.9665653,Chinese,normal
The Crane Restaurant,"Chinese, Sichuan, Dumplings",4.1,-37.81217159,144.9663645,Chinese,normal
David's Spicy Pot - Elizabeth Street,"Chinese, Malatang",4.4,-37.80791755,144.9604298,Chinese,normal
Shanghai Street Xiaolongbao & Dumpling,Chinese,4.1,-37.81160263,144.9683775,Chinese,normal
Dainty Sichuan,"Chinese, Sichuan, Hot Pot",4.5,-37.83929234,144.9929998,Chinese,normal
Plus 852 Cafe,"Chinese, Coffee and Tea",3.5,-37.8088497,144.9594196,Chinese,normal
Panda Hot Pot ,"Chinese, Hot Pot",4.3,-37.80671069,144.9642291,Chinese,normal
Bamboo House,Chinese,4.3,-37.81086123,144.9711412,Chinese,normal
Nong Tang Noodle House,"Chinese, Shanghai, Dumplings",3.9,-37.81242613,144.9673378,Chinese,normal
Xiao Jun Gan Hot Pot,"Chinese, Hot Pot",4.3,-37.8114935,144.9670243,Chinese,normal
Shanghai Street on Bourke,"Chinese, Dumplings",4.1,-37.81429083,144.9627707,Chinese,normal
"Shanghai Street Dumplings, Wontons and Noodle","Dumplings, Chinese",4.2,-37.80859487,144.9669948,Chinese,normal
GO Noodle House ,Chinese,3.8,-37.81127815,144.9700653,Chinese,normal
Silks,"Chinese, Seafood, Yum Cha",4.1,-37.82216549,144.9601374,Chinese,normal
Tanghuo Kungfu,"Chinese, Malatang",3.9,-37.81209981,144.9620498,Chinese,normal
Heyday Hong Kong Cafe,Chinese,4.1,-37.81184367,144.9662904,Chinese,normal
Gold Leaf,"Chinese, Yum Cha",4.1,-37.81235223,144.9372816,Chinese,normal
Kim Sing,Chinese,4.2,-37.81739079,144.9637631,Chinese,normal
North East China Family,"Chinese, Dumplings",4,-37.81729174,144.9641007,Chinese,normal
Crazy Wing,Chinese,2.7,-37.81228734,144.9677385,Chinese,normal
Myong Tofu,"Malaysian, Chinese",4.7,-37.78810762,144.9302398,Chinese,normal
Da Long Yi Hotpot ,"Hot Pot, Chinese, Asian",3.9,-37.80936199,144.961109,Chinese,normal
Man Tong Kitchen,Chinese,3.7,-37.82400505,144.9574924,Chinese,normal
China Bar,"Chinese, Asian, Yum Cha",2.1,-37.8120953,144.9648444,Chinese,normal
Cupanda Kitchen ,"Chinese, Dumplings, Hot Pot",3.7,-37.80946609,144.9601176,Chinese,normal
Spice Up Hot Pot Dips,"Chinese, Malatang",4,-37.80938292,144.9622862,Chinese,normal
Shandong Mama Mini,"Chinese, Asian",4,-37.81681949,144.9655967,Chinese,normal
Hi Chong Qing,"Chinese, Ramen",4.1,-37.80635176,144.9652832,Chinese,normal
Ta-Ta House,"Chinese, Dumplings",3.7,-37.81224099,144.9677076,Chinese,normal
No.1 Delicious,Chinese,3.9,-37.80786934,144.9618282,Chinese,normal
Little Sichuan by Dainty Sichuan,"Chinese, Malatang",3.7,-37.81071502,144.9650519,Chinese,normal
Lucky Chan,"Asian, Chinese, Yum Cha",2.6,-37.82329821,144.9578666,Chinese,normal
Shanghai Street on Russell,Chinese,3.7,-37.81243064,144.9678105,Chinese,normal
Charming Spice,"Sichuan, Chinese",3.8,-37.81165587,144.9640739,Chinese,normal
