name,cuisine,overall_rating,latitude,longitude,feature,type
La Belle Miette,"Desserts, French, Coffee and Tea",4.8,-37.81400716,144.961446,Desserts,normal
Om Nom Kitchen - Adelphi Hotel,"Desserts, Modern Australian",4.3,-37.81620952,144.9683128,Desserts,normal
Dex2rose Nitrogen Gelato,"Desserts, Ice Cream",4.3,-37.81381539,144.9616492,Desserts,normal
Kyo Teahouse,"Japanese, Desserts, Tea",4.5,-37.81274451,144.9637956,Desserts,normal
Waffle On,Desserts,4.6,-37.81741728,144.9658924,Desserts,normal
Pidapip,"Ice Cream, Desserts",4.9,-37.79833103,144.9671863,Desserts,normal
Little Cupcakes,"Desserts, Coffee and Tea",4.5,-37.81752667,144.9659213,Desserts,normal
Il Dolce Freddo,Desserts,4.7,-37.80431282,144.9664591,Desserts,normal
Dessert Story,Desserts,3.9,-37.81213662,144.9668074,Desserts,normal
Doughboys Doughnuts,"Coffee and Tea, Desserts",4,-37.81595075,144.9578592,Desserts,normal
Sweetie & Moustache Dessert Lounge,Desserts,2.1,-37.81164713,144.9673539,Desserts,normal
Aqua S,"Desserts, Ice Cream",4,-37.81068482,144.9651994,Desserts,normal
Burch & Purchese Sweet Studio,Desserts,4.8,-37.83772086,144.9958983,Desserts,normal
CHE Desserts,"Desserts, Beverages, Vietnamese",4,-37.81250268,144.9619503,Desserts,normal
Gelateria Primavera,"Ice Cream, Desserts",4.4,-37.8110787,144.9727807,Desserts,normal
Meet Fresh QV ,"Beverages, Desserts, Bubble Tea, Taiwanese",4,-37.81056298,144.9662535,Desserts,normal
Harajuku Crepes,"Desserts, Japanese, Crepes",3.9,-37.81018181,144.9637621,Desserts,normal
Godiva,"Desserts, Cafe Food",4.2,-37.81254506,144.9638224,Desserts,normal
The Pancake Parlour,"Desserts, Continental",3.7,-37.81021651,144.963109,Desserts,normal
Uncle Tetsu,"Bakery, Desserts",4.1,-37.81641558,144.9668439,Desserts,normal
Frozen by a Thousand Blessings,"Desserts, Frozen Yogurt",4.3,-37.81102758,144.9631814,Desserts,normal
Chocolateria San Churro,"Beverages, Coffee and Tea, Desserts, Spanish",4,-37.81058973,144.96444,Desserts,normal
BlackBall,"Desserts, Beverages, Taiwanese",3.8,-37.81252732,144.9668178,Desserts,normal
Nitro Lab,"Desserts, Ice Cream",3.4,-37.81281073,144.9676959,Desserts,normal
Moonshine Cake,Desserts,3.8,-37.81500439,144.9641118,Desserts,normal
Maxims Cakes and Pastry,"Bakery, Desserts",4.2,-37.81197876,144.9673472,Desserts,normal
Walker's Doughnuts,"American, Desserts",4.1,-37.81803228,144.965133,Desserts,normal
American Doughnut Kitchen,Desserts,4.5,-37.80746485,144.9582579,Desserts,normal
Lukumades,"Bakery, Desserts",4.2,-37.80632606,144.9556823,Desserts,normal
Keki Milkbar,"Desserts, Beverages",3.9,-37.814026,144.960783,Desserts,normal
Yo-Chi Frozen Yogurt,"Frozen Yogurt, Desserts, Healthy Food",4.5,-37.79865132,144.9679966,Desserts,normal
The French Lettuce Patisserie & Bakery,"Desserts, Bakery, Cafe Food",4.3,-37.79444658,144.9753315,Desserts,normal
Happy Lemon -  Swanston Street,"Bubble Tea, Beverages, Desserts",3.9,-37.81598174,144.966673,Desserts,normal
Doughnut Time,Desserts,3.1,-37.81771021,144.9659256,Desserts,normal
Fresh Air & Pancake,"Desserts, Ice Cream",3.6,-37.811648,144.96167,Desserts,normal
Top Tea,"Bubble Tea, Beverages, Desserts",4.1,-37.81228893,144.9651565,Desserts,normal
PAFU,"Bakery, Desserts, Japanese",3.9,-37.81059794,144.9656078,Desserts,normal
Dolcetti,"Bakery, Desserts",4.3,-37.80580898,144.9540659,Desserts,normal
Plantation,"Coffee and Tea, Desserts",4.1,-37.81020432,144.9631063,Desserts,normal
Kurimu,"Japanese, Desserts",4,-37.81028273,144.9628656,Desserts,normal
Tutto,"Juices, Beverages, Desserts, Frozen Yogurt",4.1,-37.80081996,144.9666424,Desserts,normal
The Souffle,Desserts,2.8,-37.81159495,144.9612653,Desserts,normal
Afternoon Tea At The Windsor,Desserts,4.1,-37.8121247,144.9731411,Desserts,normal
May Yu Dessert,Desserts,4,-37.81572058,144.9541232,Desserts,normal
Hokkaido Baked Cheese Tart - QV,"Bakery, Desserts",4.1,-37.81066919,144.9651297,Desserts,normal
Rainbow Toastie,"Desserts, Korean, Cafe Food",3.2,-37.81123471,144.9609062,Desserts,normal
Egg Station,"Bubble Tea, Cafe Food, Desserts, Ice Cream",4.1,-37.83906701,144.9927175,Desserts,normal
Casa Del Gelato,"Desserts, Ice Cream",4.2,-37.80187088,144.9665767,Desserts,normal
Ben & Jerry's,"Desserts, Ice Cream",3.9,-37.81651226,144.9667802,Desserts,normal
Adozen Adozen,"Bakery, Desserts, Japanese",3.9,-37.80436156,144.9626563,Desserts,normal
7 Apples Gelato,"Desserts, Ice Cream",4,-37.81229529,144.9641979,Desserts,normal
Axil Coffee Roasters,"Coffee and Tea, Desserts",3.9,-37.81510583,144.9715911,Desserts,normal
Damon Bradley,"Desserts, Coffee and Tea, Cafe Food",3.4,-37.82036376,144.9661707,Desserts,normal
Sensory Lab - Bourke Street,"Coffee and Tea, Sandwich, Desserts",3.4,-37.81339822,144.9644994,Desserts,normal
The Little Royal,Desserts,4,-37.81460735,144.9641322,Desserts,normal
Sofi's Lounge,"Desserts, Coffee and Tea",3.6,-37.81425428,144.972948,Desserts,normal
Tmix,"Bubble Tea, Desserts",3.7,-37.81275484,144.9638711,Desserts,normal
Gelatissimo Carlton,"Desserts, Ice Cream",4.2,-37.80101733,144.9667045,Desserts,normal
