name,cuisine,overall_rating,latitude,longitude,feature,type
European,"European, Italian",4.5,-37.81089567,144.9727213,European,normal
Epocha,"European, Mediterranean",4.5,-37.80607097,144.9689156,European,normal
Cecconi's Flinders Lane Restaurant,"European, Italian",4.4,-37.81493022,144.9725923,European,normal
Pepe's Italian & Liquor,"European, Italian, Pizza",4.2,-37.80940278,144.9690668,European,normal
The French Brasserie,"French, European",4.4,-37.81548989,144.9715479,European,normal
City Wine Shop,European,4.6,-37.81092878,144.9727197,European,normal
Denmark House,"Danish, European",4.2,-37.8140702,144.959785,European,normal
State of Grace,European,4.1,-37.81973713,144.9570884,European,normal
Cumulus Up,"European, Contemporary",4.4,-37.81490215,144.9732521,European,normal
Collins Quarter,"European, Modern Australian",4.2,-37.81416131,144.970713,European,normal
Bottega,"European, Italian, Modern Australian",4.1,-37.81187784,144.9711204,European,normal
Bar Ampere,"European, Bar Food",4.2,-37.81371554,144.9674012,European,normal
Hophaus,"European, German",4,-37.82037197,144.9658053,European,normal
Swiss Club Restaurant,"European, Swiss",4.1,-37.8152666,144.9713276,European,normal
Boho,"European, Bar Food",4.2,-37.8242254,144.9494894,European,normal
The Carlton Wine Room,"European, Italian",4.4,-37.79867887,144.9685995,European,normal
Ciao Cielo,"Italian, European",4.5,-37.84040016,144.9404544,European,normal
The Deck Southbank,European,4.2,-37.82019638,144.9669144,European,normal
Bergerac,"French, European",4.3,-37.81417297,144.9562117,European,normal
Heartattack and Vine,"Coffee and Tea, Cafe Food, European",4.2,-37.7976491,144.9673093,European,normal
European Bier Cafe,"Bar Food, Modern Australian",2.9,-37.81296303,144.9711972,European,normal
Sosta Cucina,"Italian, Mediterranean, European",4.4,-37.80481216,144.9494716,European,normal
Alluvial Restaurant,"Modern Australian, European",3.8,-37.81882684,144.9581814,European,normal
Pizza al Taglio Stellini Bar,"Italian, European",4.1,-37.81410516,144.9674635,European,normal
Paris Go,"European, French",4.2,-37.79694969,144.97076,European,normal
The General Assembly,"European, Modern Australian",3.7,-37.8244611,144.9521575,European,normal
Radii Restaurant & Bar,"European, Modern Australian",4.1,-37.8113706,144.9766954,European,normal
Masani Italian Dining & Terrace,"European, Italian",3.6,-37.79843806,144.9687088,European,normal
Royal St. Collins,"European, Desserts, Coffee and Tea",2.9,-37.81542499,144.9650338,European,normal
Sassy.x Restaurant & Bar,"European, Asian Fusion",3.8,-37.80686062,144.9426454,European,normal
Dmarco Espresso Bar,"European, Coffee and Tea, Cafe Food",4.1,-37.81139682,144.969501,European,normal
Omnia Bistro & Bar,European,3.5,-37.83897778,144.9955593,European,normal
Capri Cafe & Lounge,"European, Modern Australian, Australian",3.2,-37.81411655,144.9428536,European,normal
Spencer & Co Wine Bar Provedore,"Bar Food, European, Mediterranean",4,-37.79022331,144.9715955,European,normal
South Press Winehouse,"European, Italian, Spanish",3.6,-37.83836428,144.9873793,European,normal
Domain Brasserie,"European, Cafe Food",2.8,-37.83421926,144.9821483,European,normal
The Cliveden Bar & Dining,"Mediterranean, European",3.6,-37.81593777,144.9830686,European,normal
Doc Martin's,"European, Modern Australian",3.8,-37.81415708,144.9707097,European,normal
Blues Bar & Grill,"European, Tapas, Modern Australian",3.1,-37.80160465,144.9636079,European,normal
Stockroom567,"European, French, Italian",3.2,-37.8191338,144.9555894,European,normal
Hemingway's Wine Room,"European, French",0,-37.816107,144.984955,European,normal
Nick and Nora's,European,0,-37.81369,144.97083,European,normal
