name,cuisine,overall_rating,latitude,longitude,feature,type
Sushi Monger,"Japanese, Sushi",4.6,-37.81486109,144.9645386,Fast food,normal
Simpsons Burgers,"Burger, Fast Food",4.3,-37.81318818,144.9681277,Fast food,normal
Hot Star Large Fried Chicken,"Fast Food, Taiwanese, Fried Chicken",4.2,-37.81246878,144.9650626,Fast food,normal
Bratwurst Shop & Co,"Fast Food, German, Eastern European",4.3,-37.80709876,144.9593147,Fast food,normal
Chunky Town,"Korean, Fast Food",3.7,-37.81759977,144.9649221,Fast food,normal
Nene Chicken,"Korean, Fried Chicken",3.5,-37.81018976,144.9637222,Fast food,normal
Nosh,"Pok¨¦, Healthy Food, Fusion",3.7,-37.81539427,144.9629356,Fast food,normal
Rice Workshop,Japanese,4.1,-37.81251116,144.963462,Fast food,normal
Rocket Burger & Fries,Burger,4.2,-37.81800261,144.9650811,Fast food,normal
Schnitz,"Sandwich, Fast Food",4,-37.81370944,144.9627553,Fast food,normal
City Kebabs,"Kebab, Fast Food",3.9,-37.82061007,144.9562408,Fast food,normal
Hanaichi,"Japanese, Fast Food",4.3,-37.81043212,144.9656561,Fast food,normal
CBD Kebabs,"Fast Food, Kebab",3.9,-37.82060663,144.9562355,Fast food,normal
Sal's Pizza,Pizza,4,-37.81712964,144.9650211,Fast food,normal
Kung Fu Burger,"Burger, Asian",4.3,-37.8464773,144.9941173,Fast food,normal
Perkup Cafe and Burger Bar,"Burger, Coffee and Tea",4,-37.8188279,144.9545977,Fast food,normal
Embassy Taxi Cafe,"Fast Food, Coffee and Tea, Cafe Food",4.2,-37.80805053,144.947809,Fast food,normal
O-Bento,"Japanese, Sushi",3.8,-37.81056827,144.9627784,Fast food,normal
Mr. Kitchen,Chinese,2.9,-37.81077912,144.9642724,Fast food,normal
Rooftop Burger Shack,"Burger, American",3.7,-37.81204312,144.9652433,Fast food,normal
Belvga Fish and Chippery,"Fish and Chips, Burger",4.4,-37.83840956,144.9878296,Fast food,normal
The Soup Place,"Healthy Food, Salad",3.6,-37.81659887,144.9655652,Fast food,normal
Seoul Station,"Korean, Fast Food",4,-37.80983905,144.963743,Fast food,normal
New York Minute,Burger,3.3,-37.79873186,144.9663997,Fast food,normal
Lord of the Fries,Fast Food,3,-37.81018075,144.9636561,Fast food,normal
The Corner Chicken Shop,Fast Food,3.6,-37.80697559,144.9592976,Fast food,normal
Kiwi Fish and Chips,"Fish and Chips, Burger",4.3,-37.8102626,144.9852479,Fast food,normal
Sushi Hub,"Japanese, Sushi",3.6,-37.81059529,144.9656098,Fast food,normal
McDonald's,"Fast Food, Burger, American",2.8,-37.80731492,144.959785,Fast food,normal
Pepperoni's,"Pizza, Italian",2.1,-37.81795308,144.9647341,Fast food,normal
Oporto,Fast Food,3.2,-37.81068694,144.9627801,Fast food,normal
Jang Go Mama,"Korean, Japanese",3.7,-37.81069807,144.9681301,Fast food,normal
Spudbar,"Healthy Food, Fast Food, Salad",4,-37.81374255,144.9609713,Fast food,normal
Fish & Chippery by The Atlantic,Fish and Chips,3.3,-37.82255296,144.958849,Fast food,normal
Little India,"Indian, Fast Food",3.2,-37.8104994,144.9625276,Fast food,normal
Dear Fry Day,"Chinese, Asian",3.3,-37.80929338,144.9635304,Fast food,normal
Curry Bowl,Indian,4,-37.81028803,144.9694256,Fast food,normal
Flemington Kebab House,"Kebab, Turkish",4.3,-37.78844014,144.9308752,Fast food,normal
Dosa Corner,"Indian, South Indian",3.2,-37.81611973,144.9554613,Fast food,normal
Queen's Kebabs,"Kebab, Fast Food",3.9,-37.81961106,144.9574126,Fast food,normal
Egg Sake Bistro,"Asian, Japanese",4,-37.79701672,144.9612522,Fast food,normal
Crave Pizza & Fresh Pasta Bar,"Pizza, Italian",4.1,-37.8437622,144.9957659,Fast food,normal
Two Peck Crispy Chicken,Taiwanese,3.4,-37.81248706,144.9673583,Fast food,normal
Pop Me Fatale,Desserts,3.8,-37.81543294,144.9534386,Fast food,normal
King Jon's Souvlaki,"Fast Food, Greek",3.4,-37.81585937,144.9553772,Fast food,normal
Taco Bell,"Mexican, Fast Food",2.9,-37.84665124,144.9942967,Fast food,normal
The Kensington Fish Shop,"Fast Food, Fish and Chips",4,-37.79446353,144.9293725,Fast food,normal
Momo Sushi,Sushi,4.1,-37.80107137,144.964037,Fast food,normal
Old Salt Fish & Chips,Fish and Chips,4.1,-37.83817867,144.942873,Fast food,normal
Persian Grill,"Kebab, Iranian",3.1,-37.81724141,144.9646999,Fast food,normal
Hungry Jack's,"Fast Food, Burger",2.9,-37.81014658,144.9628314,Fast food,normal
KFC,"Fast Food, Fried Chicken",2.8,-37.81307905,144.9674558,Fast food,normal
Carl's Junior,"Burger, American",2.8,-37.81179546,144.9368602,Fast food,normal
Pronto Pizza,"Pizza, Fast Food",3.5,-37.79723237,144.9613149,Fast food,normal
Lucky's Pizzeria,"Italian, Pizza",4.1,-37.78260175,144.9728826,Fast food,normal
