name,cuisine,overall_rating,latitude,longitude,feature,type
Vue de monde,"Australian, Contemporary",4.9,-37.8189545,144.9579336,Fine dining,normal
Nobu,Japanese,4.5,-37.82227567,144.9598176,Fine dining,normal
Ishizuka,Japanese,4.5,-37.8129188,144.9692864,Fine dining,normal
Rockpool Bar & Grill,"Seafood, Steak, Australian",4.5,-37.82196951,144.960356,Fine dining,normal
Grossi -  Grill,"Italian, Mediterranean",4.3,-37.81189029,144.9709373,Fine dining,normal
Koko,"Japanese, Sushi, Teppanyaki",4.4,-37.82225633,144.9599523,Fine dining,normal
Eureka 89,Modern Australian,4.4,-37.82156139,144.9649939,Fine dining,normal
The Mitre Tavern Steakhouse & Grill,"Steak, Modern Australian",4.2,-37.81678533,144.9604529,Fine dining,normal
The Atlantic,Seafood,4.1,-37.82265439,144.9590313,Fine dining,normal
France-Soir,French,4.5,-37.83831583,144.9869028,Fine dining,normal
Rosetta Ristorante,Italian,4.1,-37.82154788,144.9606715,Fine dining,normal
Grossi - Florentino,Italian,4.5,-37.81185268,144.9708927,Fine dining,normal
Matilda 159,"Contemporary, Australian",4.4,-37.83413373,144.9815632,Fine dining,normal
Little Collins St Kitchen,French,3.9,-37.81288861,144.9727518,Fine dining,normal
Locanda Restaurant & Public Bar,"Italian, Steak, Australian",3.7,-37.81112082,144.9703476,Fine dining,normal
Atlas Dining,Contemporary,4.3,-37.84640317,144.9909493,Fine dining,normal
Kazuki's,"Japanese, Contemporary",3.8,-37.80418407,144.9661938,Fine dining,normal
Bacash,"Seafood, Modern Australian",4.2,-37.83418881,144.9819706,Fine dining,normal
Di Stasio Citta,Italian,3.1,-37.81407258,144.97421,Fine dining,normal
Chilli India,"Indian, South Indian",4.3,-37.81104056,144.9623499,Fine dining,normal
Sushi Club,"Japanese, Sushi",4.3,-37.81053066,144.9621008,Fine dining,normal
Ajisen Ramen,"Japanese, Ramen",4,-37.8106533,144.9624005,Fine dining,normal
Son In Law The Pad,"Thai, Asian",3.7,-37.81065383,144.9622886,Fine dining,normal
Pretzel,Bakery,3.8,-37.81082918,144.9624367,Fine dining,normal
Chilli Everest,Nepalese,3.5,-37.81090388,144.9624066,Fine dining,normal
SamSam Melbourne Central,"Fried Chicken, Street Food, Korean",3.4,-37.81064509,144.9621762,Fine dining,normal
Reverie Cafe & Dessert,"Cafe Food, Desserts, Patisserie, Coffee and Tea",3.7,-37.81044669,144.9620891,Fine dining,normal
Byrdi,"Cafe Food, Bar Food, Coffee and Tea",3.9,-37.81043636,144.9620562,Fine dining,normal
LOMAH,Mediterranean,3.7,-37.81059291,144.9621176,Fine dining,normal
Pho Nom,"Vietnamese, Pho",0,-37.811444,144.957539,Fine dining,normal
