name,cuisine,overall_rating,latitude,longitude,feature,type
Lune Croissanterie,"Bakery, French",4.5,-37.81564854,144.969276,French,normal
La Petite Cr¨ºperie,French,4.4,-37.8146688,144.9660698,French,normal
Philippe,French,4.3,-37.81476574,144.9701146,French,normal
Bistro Guillaume,French,4.3,-37.82232281,144.9594263,French,normal
French Saloon Bar & Bistro,French,4,-37.81359767,144.9612928,French,normal
Aix Cafe Creperie Salon,"French, Crepes, Coffee and Tea, Cafe Food",4.2,-37.81643942,144.9654834,French,normal
Beneath Driver Lane,"Bar Food, French",4,-37.81293522,144.963049,French,normal
Chez Olivier - Le Bistro,French,4.6,-37.83968924,144.9962963,French,normal
Bar Margaux,French,3.9,-37.81048987,144.969102,French,normal
Noisette,"Cafe Food, French",4.4,-37.84164142,144.9397325,French,normal
Bistro Gitan,French,4.4,-37.83731785,144.9791838,French,normal
La Parisienne Pates,"Bakery, French, Cafe Food",4.2,-37.83830179,144.9870232,French,normal
Ned's Bake,"French, Bakery, Cafe Food",3.7,-37.83898493,144.9908138,French,normal
The French Quarter - Patisserie Boulangerie,"Bakery, French",3.8,-37.80281847,144.9484195,French,normal
French Fix,"Coffee and Tea, French, Sandwich",3.9,-37.81351768,144.9598642,French,normal
La Creperie Saint-Germain,"French, Crepes",3.4,-37.81551743,144.9644142,French,normal
Betty's Burgers & Concrete Co.,"American, Burger",4.3,-37.81598677,144.9638198,French,normal
Royal Stacks,"American, Burger",4.3,-37.81772134,144.958454,French,normal
