name,cuisine,overall_rating,latitude,longitude,feature,type
Tipo 00,Italian,4.9,-37.81352774,144.9619734,Italian,normal
+39 Pizzeria,"Pizza, Italian",4.6,-37.81349066,144.961845,Italian,normal
Osteria Ilaria,Italian,4.5,-37.81356615,144.9618923,Italian,normal
Maccaroni Trattoria Italiana,Italian,4.4,-37.81600716,144.9659581,Italian,normal
DOC Pizza & Mozzarella Bar - Carlton,"Italian, Pizza",4.6,-37.79896208,144.968573,Italian,normal
Tazio,"Italian, Pizza",4.4,-37.81530316,144.9711801,Italian,normal
Il Solito Posto,Italian,4.6,-37.81492069,144.9702775,Italian,normal
Meatball & Wine Bar,Italian,4.3,-37.8156586,144.9700639,Italian,normal
Pellegrini's Espresso Bar,Italian,4.3,-37.81181904,144.9712444,Italian,normal
Universal Restaurant,"Italian, Modern Australian",4.4,-37.80387811,144.9662401,Italian,normal
The Moat,Italian,4.5,-37.81026286,144.9652578,Italian,normal
Il Bacaro Cucina e Bar,Italian,4.7,-37.81391896,144.9680127,Italian,normal
Vapiano,"Italian, Pizza",3.9,-37.81758679,144.9629316,Italian,normal
Kaprica,"Italian, Pizza, Coffee and Tea",4.5,-37.80324498,144.96282,Italian,normal
Ombra Salumi Bar,"Italian, Pizza",4.5,-37.81189876,144.9710326,Italian,normal
Palermo,"Argentine, Italian, Spanish",4.1,-37.81381592,144.9610001,Italian,normal
Campari House,"Italian, Bar Food",3.9,-37.81402544,144.9614376,Italian,normal
Scopri Italian Food & Wine,Italian,4.9,-37.79571828,144.9751149,Italian,normal
Lello Pasta Bar,Italian,4.3,-37.81575634,144.969328,Italian,normal
Gradi Crown,"Italian, Pizza",4.1,-37.82303284,144.9584594,Italian,normal
La Spaghettata,"Italian, Seafood, Crepes, Parma",4.3,-37.80160067,144.9669995,Italian,normal
La Camera Southgate,"Italian, Pizza",4.2,-37.82008408,144.9666981,Italian,normal
The Waiters Restaurant,Italian,4.2,-37.81213265,144.9723307,Italian,normal
Massi,Italian,4.1,-37.81638433,144.9599192,Italian,normal
Pentolina,"Italian, Australian",4.1,-37.81586997,144.9623995,Italian,normal
The Mess Hall,Italian,4.2,-37.81180553,144.9717326,Italian,normal
