name,cuisine,overall_rating,latitude,longitude,feature,type
Gypsy & Pig,Japanese,4.5,-37.8117793,144.9603047,Japanese,normal
Hakata Gensuke Ramen Professionals,"Ramen, Japanese",4.7,-37.81233608,144.9680422,Japanese,normal
Kisume,Japanese,4.5,-37.81609166,144.96864,Japanese,normal
Sakura Kaiten Sushi,"Sushi, Japanese",4.6,-37.81289284,144.9717514,Japanese,normal
Mugen Ramen & Bar,"Japanese, Ramen",4.4,-37.81721016,144.9637108,Japanese,normal
Shoya Nouvelle Wafu Cuisine,"Japanese, Sushi, Japanese BBQ",4.7,-37.81178089,144.9692288,Japanese,normal
Shimbashi Soba & Sake Bar,"Japanese, Tapas",4.6,-37.81133616,144.9714007,Japanese,normal
Little Ramen Bar,"Japanese, Ramen",4.3,-37.81335452,144.9622896,Japanese,normal
Shou Sumiyaki,"Japanese, Japanese BBQ",4.4,-37.81174196,144.9678598,Japanese,normal
Purple Peanuts Japanese Cafe,"Japanese, Sushi",4.6,-37.81884644,144.954549,Japanese,normal
Kenzan Japanese,"Japanese, Sushi",4.6,-37.8146304,144.9727968,Japanese,normal
Sushi Hotaru,"Japanese, Sushi",4.3,-37.81243117,144.9673512,Japanese,normal
Shujinko - Russell St,"Japanese, Ramen",4.2,-37.81132583,144.9672962,Japanese,normal
Niku Ou,"Japanese BBQ, Japanese",4.5,-37.81222721,144.969896,Japanese,normal
Ippudo,"Japanese, Ramen",4.4,-37.81052165,144.9664024,Japanese,normal
Mr. Ramen San,"Japanese, Ramen",4.5,-37.81220417,144.9671779,Japanese,normal
BrimCC,Japanese,4.6,-37.81787204,144.9548002,Japanese,normal
Kaneda Japanese Restaurant,"Japanese, Sushi",4.3,-37.81261684,144.9673482,Japanese,normal
Wagaya,"Japanese, Sushi",4.2,-37.81239488,144.9673016,Japanese,normal
Ishiya Stone Grill,Japanese,4.5,-37.81166064,144.9681529,Japanese,normal
Teppanyaki Inn,"Japanese, Teppanyaki",4.6,-37.81489288,144.9675886,Japanese,normal
Tokyo Japanese Restaurant,Japanese,3.9,-37.81121882,144.9616032,Japanese,normal
Musashi Ramen,"Japanese, Ramen",4.3,-37.81220973,144.9676882,Japanese,normal
Hihou,Japanese,4.3,-37.81444949,144.9741905,Japanese,normal
Yamato Japanese,"Japanese, Sushi",4.2,-37.81092533,144.9682246,Japanese,normal
Udon Izakaya Maedaya,Japanese,4.2,-37.81270399,144.9683406,Japanese,normal
Takumi,"Japanese BBQ, Hot Pot, Japanese",4.3,-37.81158091,144.9721487,Japanese,normal
Izakaya Chuji,"Japanese, Sushi",4.1,-37.81086918,144.9676681,Japanese,normal
Ramen Ya,"Japanese, Ramen",4.1,-37.81279828,144.9636075,Japanese,normal
Hanabishi Japanese,Japanese,4.5,-37.81581646,144.9553185,Japanese,normal
Akaiito,Japanese,4,-37.81778967,144.9628223,Japanese,normal
Hakata Gensuke Chicken Ramen,"Japanese, Ramen",4.3,-37.81096109,144.9661338,Japanese,normal
Wagyu Ya,"Japanese, Steak, Japanese BBQ",4.7,-37.83907098,144.991419,Japanese,normal
Sake Restaurant & Bar,"Japanese, Sushi",4.2,-37.81981606,144.9679205,Japanese,normal
Ikkoryu Fukuoka Ramen,"Japanese, Ramen",3.9,-37.81601696,144.9694041,Japanese,normal
DonDon,Japanese,4.3,-37.81183917,144.959892,Japanese,normal
Akachochin,"Japanese, Sushi",4.4,-37.82430379,144.9516036,Japanese,normal
Gyoza Gyoza - Little Bourke,"Japanese, Dumplings",4.2,-37.81147469,144.9690242,Japanese,normal
Taketori,Japanese,4,-37.81387764,144.9544605,Japanese,normal
Unabara Lobster & Oyster Bar,"Japanese, Seafood",4.1,-37.81023267,144.9630553,Japanese,normal
Akita Japanese,"Japanese, Sushi",4.4,-37.80204944,144.9543204,Japanese,normal
Yami Yami - Lonsdale Street,"Japanese, Korean",4.1,-37.81265181,144.9605773,Japanese,normal
Udon Yasan,Japanese,4,-37.81277233,144.9677619,Japanese,normal
Momo Sukiyaki & Shabu Shabu,Japanese,3.8,-37.81150092,144.9689807,Japanese,normal
Gyoza Douraku,Japanese,4.1,-37.81263406,144.9689823,Japanese,normal
Menya Ramen - Elizabeth Street,"Japanese, Ramen",3.8,-37.80874983,144.9604449,Japanese,normal
Mr. Fusion Modern Japanese,Japanese,4,-37.81704409,144.9568856,Japanese,normal
Mochi Moments,Japanese,4.1,-37.81278027,144.9638798,Japanese,normal
Sakura Kaiten Sushi II,"Japanese, Sushi",4.1,-37.81169454,144.9639572,Japanese,normal
Coppe Pan Japanese Bakery,"Bakery, Japanese",4.1,-37.81006738,144.9625025,Japanese,normal
Robot Bar,Japanese,4.2,-37.81708965,144.9637031,Japanese,normal
Cafe Lafayette,"Cafe Food, Coffee and Tea, Japanese",4,-37.81286477,144.9613729,Japanese,normal
Namoo,"Japanese, Korean",4.1,-37.81485739,144.9604848,Japanese,normal
Tsuru Japanese Restaurant,"Japanese, Fusion",4,-37.81265525,144.9726204,Japanese,normal
Gaijin Japanese Fusion,"Japanese, Sushi",4.2,-37.84638861,144.9910251,Japanese,normal
Sushi Boto,Japanese,3.2,-37.81513947,144.9649332,Japanese,normal
Sushi Jiro - QV,"Japanese, Sushi",4,-37.81056562,144.9659323,Japanese,normal
Sushi & Nori,"Sushi, Japanese",4.1,-37.8121896,144.9639317,Japanese,normal
Hakata Gensuke Yatai Ramen,"Ramen, Japanese",4.2,-37.80409559,144.9665201,Japanese,normal
