name,cuisine,overall_rating,latitude,longitude,feature,type
Portello Rosso,"Spanish, Tapas",4.5,-37.81378493,144.9619365,Spanish,normal
MoVida Bar De Tapas,"Spanish, Tapas",4.7,-37.81670269,144.9691895,Spanish,normal
Bomba Downstairs,"Mediterranean, Spanish, Tapas",4.5,-37.81039822,144.9692036,Spanish,normal
Bar Lourinha,"Spanish, Tapas",4.6,-37.81270399,144.9724739,Spanish,normal
MoVida Next Door,"Spanish, Tapas",4.6,-37.81680016,144.9692291,Spanish,normal
Simply Spanish,"Spanish, Tapas",4,-37.81651305,144.9581663,Spanish,normal
Teatro,"Spanish, Tapas, Mediterranean",3.9,-37.81981976,144.9676137,Spanish,normal
El Rincon,"Spanish, Bar Food, Cafe Food",3.9,-37.80631865,144.9590883,Spanish,normal
Bar Nacional,"Spanish, Coffee and Tea, Cafe Food",3.9,-37.82072713,144.9502729,Spanish,normal
Henry Sugar,"Spanish, Modern European",4,-37.79161352,144.9716897,Spanish,normal
Bar Tini,"Spanish, Tapas",3.4,-37.81647279,144.9690883,Spanish,normal
Cinema Nova Bar,"Spanish, Tapas",3.7,-37.79785734,144.967779,Spanish,normal
Bakemono Bakers,"Coffee and Tea, Bakery",3.9,-37.810921,144.963922,Spanish,normal
Churros Spanish Donuts,Desserts,4,-37.80694724,144.9563414,Spanish,normal
Botica,"Coffee and Tea, Cafe Food",3.6,-37.81272889,144.964086,Spanish,normal
Spanish Doughnuts,"Desserts, Fast Food",3.2,-37.81908851,144.9527707,Spanish,normal
Aperitivo Bar Ristorante,"Italian, Bar Food",3.4,-37.79907679,144.9670625,Spanish,normal
