name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Gopal's Vegetarian,"Indian, Healthy Food, Vegetarian",4.4,CBD,"139 Swanston Street, CBD, Melbourne",CBD,-37.81435414,144.9659447,$20.00 ,Vegetarian
Shakahari Vegetarian,"Vegetarian, Fusion, Asian",4.4,Carlton,"203 Faraday Street, Carlton, Melbourne",Carlton,-37.79887889,144.9679299,$35.00 ,Vegetarian
Gong De Lin,"Asian, Chinese, Vegetarian",4.1,CBD,"Level 3, 264 Swanston Street, CBD, Melbourne",CBD,-37.81188075,144.9651257,$37.50 ,Vegetarian
Om Vegetarian,"Indian, Vegetarian",4.2,CBD,"Level 1, 28 Elizabeth Street, CBD, Melbourne",CBD,-37.81739715,144.9649714,$15.00 ,Vegetarian
Hunters' Roots,"Vegetarian, Cafe Food",4.2,The Archway,"The Archway, 517 Flinders Lane, CBD",The Archway,-37.81978004,144.9564192,$22.50 ,Vegetarian
Manchester Press,"Coffee and Tea, Cafe Food",4.4,CBD,"8 Rankins Lane, CBD, Melbourne",CBD,-37.81390995,144.9621769,$20.00 ,Brunch
The Hardware Societe,"French, Cafe Food, Coffee and Tea",4.6,CBD,"123 Hardware Street, CBD, Melbourne",CBD,-37.81203173,144.9604677,$30.00 ,Brunch
Brick Lane,"Cafe Food, Coffee and Tea",4.5,CBD,"33 Guildford Lane, CBD, Melbourne",CBD,-37.81140132,144.9598075,$25.00 ,Brunch
White Mojo Speciality Coffee & Roaster,"Cafe Food, Fusion, Coffee and Tea",4.2,CBD,"115 Hardware Street, CBD, Melbourne",CBD,-37.81216629,144.9605267,$27.50 ,Brunch
Hash Specialty Coffee,"Coffee and Tea, Cafe Food",4.2,CBD,"113 Hardware Street, CBD, Melbourne",CBD,-37.81232495,144.9605967,$25.00 ,Brunch
Humble Rays,"Coffee and Tea, Cafe Food, Asian Fusion",4.8,Carlton,"71 Bouverie Street, Carlton, Melbourne",Carlton,-37.80481772,144.9615536,$25.00 ,Brunch
Operator25,"Coffee and Tea, Cafe Food",4.3,CBD,"25 Wills Street, CBD",CBD,-37.81061039,144.9571015,$27.50 ,Brunch
Higher Ground,"Cafe Food, Coffee and Tea",4.2,CBD,"650 Little Bourke Street, CBD, Melbourne",CBD,-37.81597088,144.953048,$30.00 ,Brunch
The Grain Store,"European, Coffee and Tea, Cafe Food",4.5,CBD,"517 Flinders Lane, CBD, Melbourne",CBD,-37.81971462,144.9566187,$35.00 ,Brunch
Bowery to Williamsburg,"American, Coffee and Tea, Cafe Food",4.4,CBD,"16 Oliver Lane, CBD, Melbourne",CBD,-37.81626646,144.9702634,$25.00 ,Brunch
Captains of Industry,"Sandwich, Coffee and Tea, Cafe Food",4.4,CBD,"Level 1, 2 Somerset Place, CBD, Melbourne",CBD,-37.81363104,144.9625474,$22.50 ,Brunch
Seven Seeds,"Coffee and Tea, Cafe Food",4.4,Carlton,"114 Berkeley Street, Carlton, Melbourne",Carlton,-37.80294007,144.9590374,$25.00 ,Brunch
Roule Galette,"Coffee and Tea, Crepes, Cafe Food",4.5,CBD,"241 Flinders Lane, CBD, Melbourne",CBD,-37.81680307,144.9662921,$20.00 ,Brunch
Drumplings,"Chinese, Asian Fusion, Dumplings",3.8,CBD,"227 Bourke Street, CBD, Melbourne",CBD,-37.81324168,144.9669097,$40.00 ,Brunch
Kinfolk,"Cafe Food, Coffee and Tea",4.5,CBD,"673 Bourke Street, CBD, Melbourne",CBD,-37.81692544,144.9539948,$25.00 ,Brunch
No35,"Contemporary, European, French",4.4,"Sofitel Melbourne On Collins, CBD","Sofitel Melbourne On Collins, Level 35, 25 Collins Street, CBD, Melbourne","Sofitel Melbourne On Collins, CBD",-37.81417774,144.9728672,$100.00 ,Brunch
The League of Honest Coffee,"Coffee and Tea, Cafe Food",4.5,CBD,"8 Exploration Lane, CBD, Melbourne",CBD,-37.80930345,144.9684888,$15.00 ,Brunch
Krimper,"Coffee and Tea, Cafe Food",4.2,CBD,"20-24 Guildford Lane, CBD, Melbourne",CBD,-37.81123922,144.960186,$27.50 ,Brunch
Beatrix,"Coffee and Tea, Bakery",4.9,North Melbourne,"688 Queensberry Street, North Melbourne, Melbourne",North Melbourne,-37.80236733,144.9444753,$15.00 ,Brunch
Vertue Coffee Roasters,"Coffee and Tea, Cafe Food",4.6,Carlton,"8 Raffa Place, Carlton, Melbourne",Carlton,-37.79768884,144.9683121,$25.00 ,Brunch
Auction Rooms,"Coffee and Tea, Cafe Food",4.4,North Melbourne,"103-107 Errol Street, North Melbourne, Melbourne",North Melbourne,-37.8025223,144.9495608,$25.00 ,Brunch
Jungle Juice,"Coffee and Tea, Cafe Food",4.5,CBD,"20 Centre Place, CBD, Melbourne",CBD,-37.81655198,144.9655347,$25.00 ,Brunch
Roasting Warehouse,"Coffee and Tea, Cafe Food, Modern Australian",4.5,North Melbourne,"19-21 Leveson Street, North Melbourne, Melbourne",North Melbourne,-37.80448818,144.9507266,$25.00 ,Brunch
