name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one
Calia,"Japanese, Australian, Asian",4.5,-37.8127461,144.9639669,Asian,normal,"Emporium Melbourne, Ground Floor, 287 Lonsdale Street, CBD, Melbourne",$50.00
Supernormal,"Asian, Fusion",4.5,-37.81604795,144.9683725,Asian,normal,"180 Flinders Lane, CBD, Melbourne",$70.00
CJ Lunch Bar,"Korean, Asian, Hot Pot",4.5,-37.81184235,144.9603728,Asian,normal,"Shop 2/391 Little Lonsdale Street, CBD, Melbourne",$20.00
Don Don,"Japanese, Asian",4.6,-37.81076031,144.9635955,Asian,normal,"198 Little Lonsdale Street, CBD, Melbourne",$15.00
Darac Grill & Bar,"Korean, Asian",4.4,-37.80897631,144.9620451,Asian,normal,"51 A'Beckett Street, CBD, Melbourne",$30.00
Coda,"Asian, Fusion",4.6,-37.81582176,144.969964,Asian,normal,"Entrance at Oliver Lane, Basement, 141 Flinders Lane, CBD, Melbourne",$72.50
Scoopy Milk Bar,"Korean, Desserts, Asian",4.7,-37.81140689,144.9598635,Asian,normal,"33 Guildford Lane, CBD, Melbourne",$15.00
Melbourne Hwaro Korean BBQ Restaurant,"Korean BBQ, Korean, Asian",4.4,-37.81522396,144.955748,Asian,normal,"562 Little Bourke Street, CBD, Melbourne",$42.50
OK Chicken (Warra Warra Kitchen),"Fried Chicken, Korean, Asian",4.5,-37.81410039,144.9665167,Asian,normal,"Rainbow Alley, CBD, Melbourne",$35.00
Gingerboy,Asian,4.4,-37.81126279,144.9710057,Asian,normal,"27-29 Crossley Street, CBD, Melbourne",$65.00
Hochi Mama,"Fusion, Vietnamese, Asian",4.3,-37.81138967,144.9714369,Asian,normal,"11 Liverpool Street, CBD, Melbourne",$37.50
Gami,"Korean, Asian, Fried Chicken",4.4,-37.80923034,144.9687701,Asian,normal,"100 Little Lonsdale Street, CBD, Melbourne",$30.00
Lucy Liu Kitchen and Bar,Asian,4.4,-37.81600134,144.9700495,Asian,normal,"23 Oliver Lane, CBDMelbourne 3000",$75.00
Laksa Bar,"Asian, Malaysian",4.1,-37.80928888,144.9685679,Asian,normal,"108 Little Lonsdale Street, CBD, Melbourne",$30.00
Magic Mountain Saloon,"Asian, Fusion",4.4,-37.81288887,144.9715113,Asian,normal,"62 Little Collins Street, CBD, Melbourne",$50.00
Mr. Nice Guy,"Thai, Asian, Fusion",4.3,-37.81342895,144.9558191,Asian,normal,"10 Healeys Lane, CBD, Melbourne",$25.00
Sichuan House,"Asian, Chinese, Sichuan",4.5,-37.81099049,144.9682665,Asian,normal,"22-26 Corrs Lane, CBD, Melbourne",$40.00
Mahn Doo,"Korean, Asian",4.2,-37.81124663,144.9585298,Asian,normal,"365 La Trobe Street, CBD",$40.00
Lee Ho Fook,"Asian, Chinese",4.2,-37.8155757,144.9713551,Asian,normal,"11-15 Duckboard Place, CBD, Melbourne",$90.00
Oppa Kitchen,"Korean, Asian, Fried Chicken",4,-37.81185003,144.9647843,Asian,normal,"271 Swanston Street, CBD, Melbourne",$25.00
Mapo Grill & Bar,"Korean, Korean BBQ, Asian",4.3,-37.81330366,144.9556729,Asian,normal,"21 Healeys Lane, CBD",$40.00
Sunda,"Vietnamese, Indonesian, Malaysian, Asian",4.3,-37.81050232,144.9710366,Asian,normal,"18 Punch Lane, CBD, Melbourne",$75.00
Seamstress Dining Room,Asian,4.4,-37.81047901,144.9690383,Asian,normal,"Level 1, 113 Lonsdale Street, CBD, Melbourne",$65.00
@t Ease - Easy Thai,"Asian, Thai",4.1,-37.81114333,144.966615,Asian,normal,"195 Lonsdale Street, CBD, Melbourne",$25.00
CHEEK,"American, Asian, BBQ",4.3,-37.81106916,144.9643743,Asian,normal,"Level 1, 301 Swanston Street, CBD, Melbourne",$70.00
Pepper Lunch,"Asian, Japanese",4,-37.81143788,144.9617434,Asian,normal,"309-311 Elizabeth Street, CBD, Melbourne",$25.00
Hawker Boys,"Asian, Vietnamese",4,-37.81295456,144.9608613,Asian,normal,"85 Hardware Lane, CBD, Melbourne",$20.00
@Siam Thai Restaurant,"Thai, Asian",4,-37.81277233,144.9686357,Asian,normal,"165A Bourke Street, CBD, Melbourne",$30.00
Dosirock,"Asian, Korean",4.2,-37.81343848,144.9547063,Asian,normal,"Shop 1, 280 King Street, CBD",$40.00
Woodo,"Korean BBQ, Korean, Asian",4.3,-37.81598094,144.9554124,Asian,normal,"179 King Street, CBD",$45.00
Juicy Bao,"Asian, Chinese",4.1,-37.81199068,144.9670223,Asian,normal,"Shop 2, 178-190, Little Bourke Street, CBD, Melbourne",$42.50
TuanTuan Chinese Brasserie,"Chinese, Asian",4,-37.80477004,144.9637664,Asian,normal,"R1/139-151 Queensberry Street, Carlton, Melbourne,",$35.00
Chimac,"Korean, Asian, Korean BBQ, Fried Chicken",4.4,-37.80721744,144.9555257,Asian,normal,"Shop 1/39-47 Peel Street, West Melbourne, Melbourne",$35.00
Hui Lau Shan,"Asian, Desserts",4,-37.80900837,144.9606185,Asian,normal,"425 Elizabeth Street, CBD, Melbourne",$20.00
Shark Fin Inn,"Chinese, Asian, Yum Cha",4.2,-37.81080216,144.9710564,Asian,normal,"50 Little Bourke Street, CBD, Melbourne",$55.00
Shinbashi Yakiniku,"Japanese, Asian, Japanese BBQ",4.1,-37.80004773,144.9672329,Asian,normal,"294 Lygon Street, Carlton, Melbourne",$40.00
Han Guuk Guan,"Korean, Chinese, Asian",3.8,-37.80753213,144.9680245,Asian,normal,"13 Victoria Street, CBD, Melbourne",$25.00
Shanghai Dumpling House,"Chinese, Asian, Yum Cha",2.2,-37.81186036,144.9655528,Asian,normal,"25 Tattersalls Lane, CBD, Melbourne",$15.00
Mr Huang Jin,"Taiwanese, Asian, Chinese",4.2,-37.81983221,144.95644,Asian,normal,"The Archway, 24 Katherine Place, CBD, Melbourne",$45.00
Gong De Lin,"Asian, Chinese, Vegetarian",4.1,-37.81188075,144.9651257,Asian,normal,"Level 3, 264 Swanston Street, CBD, Melbourne",$37.50
Dainty Sichuan - Tina's Noodle Kitchen,Asian,3.6,-37.812406,144.9650174,Asian,normal,"237 Swanston Street, CBD, Melbourne",$25.00
